a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,12:00,OFF,jump ball,,Jason Thompson,,,Jeff Green,,,,,,,Kevin Martin,,,,,,
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:41,SAC,shot,,,,,,,,,,Tyreke Evans,,,,missed,,driving layup,25,6
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:40,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:23,OKC,shot,Kevin Durant,,,,,,,,,Jeff Green,3,,,made,,3pt,30,30
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:57,SAC,shot,,,,,,,,,,Desmond Mason,,,,missed,,jump,11,7
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:56,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,def,,
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:52,OKC,shot,Russell Westbrook,,,,,,,,,Kevin Durant,2,,,made,,dunk,25,6
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:25,SAC,shot,Tyreke Evans,,,,,,,,,Kevin Martin,3,,,made,,3pt,8,24
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:09,OKC,shot,Thabo Sefolosha,,,,,,,,,Nenad Krstic,2,,,made,,jump,25,24
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:53,OKC,foul,,,,,,,,Jason Thompson,,Jeff Green,,,,,,shooting,,
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:53,SAC,free throw,,,,,,,1,,2,Jason Thompson,,,foul,missed,,,,
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:53,SAC,rebound,,,,,,,,,,,,,,,,,,
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:53,SAC,free throw,,,,,,,2,,2,Jason Thompson,,,foul,made,,,,
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:46,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,3pt,15,28
Desmond Mason,Jason Thompson,Kevin Martin,Sean May,Tyreke Evans,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:45,OKC,rebound,,,,,,,,,,Nenad Krstic,,,,,,off,,
