a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,12:00,OFF,jump ball,,Greg Oden,,,Jeff Green,,,,,,,Steve Blake,,,,,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:44,POR,shot,,,,,,,,,,Greg Oden,2,,,made,,layup,25,6
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:27,OKC,shot,,,,,,,,,,Nenad Krstic,,,,missed,,jump,16,21
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:26,POR,rebound,,,,,,,,,,Steve Blake,,,,,,def,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:23,OKC,foul,,,,,,,,Greg Oden,,Nenad Krstic,,,,,,personal,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:08,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,3pt,26,31
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:07,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:51,OKC,shot,,,,,,,,,,Jeff Green,2,,,made,,driving layup,25,6
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:26,POR,shot,Brandon Roy,,,,,,,,,Steve Blake,3,,,made,,3pt,48,7
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:16,OKC,foul,,,,,,,,Steve Blake,,Russell Westbrook,,,,,,offensive,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:16,OKC,turnover,,,,,,,,,,Russell Westbrook,,,foul,,,,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:02,POR,shot,,,Kevin Durant,,,,,,,LaMarcus Aldridge,,,,missed,,layup,25,6
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:00,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,off,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:58,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,21,11
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:57,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,off,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:49,POR,turnover,,,,,,,,,,Greg Oden,,,3 second violation,,,,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:31,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,11,15
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:29,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,def,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:17,POR,shot,,,,,,,,,,Greg Oden,2,,,made,,layup,25,6
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:04,OKC,shot,,,,,,,,,,Russell Westbrook,2,,,made,,finger roll layup,25,6
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,8:37,POR,shot,,,,,,,,,,Steve Blake,2,,,made,,turnaround fade away,16,7
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,8:24,OKC,shot,,,,,,,,,,Jeff Green,,,,missed,,3pt,15,29
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,8:22,POR,rebound,,,,,,,,,,Brandon Roy,,,,,,def,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,8:13,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,jump,11,13
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,8:12,OKC,rebound,,,,,,,,,,Nenad Krstic,,,,,,def,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,8:02,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,39,12
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,8:01,POR,rebound,,,,,,,,,,Brandon Roy,,,,,,def,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,7:48,OKC,foul,,,,,,,,Greg Oden,,Jeff Green,,,,,,shooting,,
