a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,12:00,OFF,jump ball,,Brendan Haywood,,,Shaquille O'Neal,,,,,,,Anderson Varejao,,,,,,
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,11:44,CLE,shot,Shaquille O'Neal,,,,,,,,,Anthony Parker,2,,,made,,jump,30,21
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,11:29,WAS,shot,,,,,,,,,,Gilbert Arenas,,,,missed,,jump,30,26
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,11:28,CLE,rebound,,,,,,,,,,Anderson Varejao,,,,,,def,,
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,11:15,CLE,shot,,,,,,,,,,LeBron James,,,,missed,,jump,4,9
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,11:14,WAS,rebound,,,,,,,,,,Gilbert Arenas,,,,,,def,,
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,11:10,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,layup,22,6
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,11:09,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,10:56,WAS,foul,,,,,,,,Mo Williams,,Fabricio Oberto,,,,,,personal,,
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,10:44,CLE,shot,,,,,,,,,,Anthony Parker,,,,missed,,3pt,11,27
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,10:43,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,10:29,WAS,shot,Fabricio Oberto,,,,,,,,,Brendan Haywood,2,,,made,,layup,24,7
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,10:16,CLE,shot,Mo Williams,,,,,,,,,Shaquille O'Neal,2,,,made,,jump bank hook,19,8
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,10:00,WAS,shot,,,,,,,,,,Fabricio Oberto,,,,missed,,jump,9,11
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,9:58,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,off,,
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,9:58,WAS,shot,,,,,,,,,,Brendan Haywood,,,,missed,,tip,25,7
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,9:57,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,9:46,CLE,shot,LeBron James,,,,,,,,,Anderson Varejao,2,,,made,,layup,26,8
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,9:34,CLE,foul,,,,,,,,Caron Butler,,Anderson Varejao,,,,,,shooting,,
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,9:34,WAS,free throw,,,,,,,1,,2,Caron Butler,,,foul,made,,,,
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,9:34,WAS,free throw,,,,,,,2,,2,Caron Butler,,,foul,made,,,,
Brendan Haywood,Caron Butler,Fabricio Oberto,Gilbert Arenas,Mike Miller,Anderson Varejao,Anthony Parker,LeBron James,Mo Williams,Shaquille O'Neal,1,9:21,CLE,shot,,,,,,,,,,Anthony Parker,,,,missed,,3pt,49,8
