a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,12:00,OFF,jump ball,,Josh Smith,,,Spencer Hawes,,,,,,,Al Horford,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,11:42,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,jump,27,13
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,11:41,SAC,rebound,,,,,,,,,,Andres Nocioni,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,11:23,SAC,turnover,,,,,,,,,,Spencer Hawes,,,bad pass,,Al Horford,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,11:22,ATL,turnover,,,,,,,,,,Al Horford,,,bad pass,,Spencer Hawes,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,11:17,SAC,shot,Andres Nocioni,,,,,,,,,Kevin Martin,3,,,made,,3pt,47,15
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,10:57,ATL,shot,,,,,,,,,,Mike Bibby,,,,missed,,jump,44,8
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,10:56,SAC,rebound,,,,,,,,,,Andres Nocioni,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,10:42,SAC,shot,,,,,,,,,,Spencer Hawes,,,,missed,,hook,25,12
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,10:41,SAC,rebound,,,,,,,,,,,,,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,10:31,SAC,shot,,,,,,,,,,Jason Thompson,2,,,made,,jump,40,14
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,10:21,SAC,foul,,,,,,,,Joe Johnson,,Tyreke Evans,,,,,,personal,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,10:12,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,3pt,47,8
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,10:11,SAC,rebound,,,,,,,,,,Kevin Martin,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,9:57,SAC,shot,,,,,,,,,,Tyreke Evans,,,,missed,,jump,16,24
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,9:56,ATL,rebound,,,,,,,,,,Joe Johnson,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,9:45,ATL,turnover,,,,,,,,,,Joe Johnson,,,traveling,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,9:31,SAC,shot,Kevin Martin,,,,,,,,,Andres Nocioni,2,,,made,,jump hook,21,9
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,9:14,ATL,shot,,,Jason Thompson,,,,,,,Josh Smith,,,,missed,,jump,21,9
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,9:13,ATL,rebound,,,,,,,,,,,,,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,9:11,ATL,shot,,,,,,,,,,Mike Bibby,2,,,made,,driving layup,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andres Nocioni,Jason Thompson,Kevin Martin,Spencer Hawes,Tyreke Evans,1,9:11,SAC,foul,,,,,,,,Mike Bibby,,Spencer Hawes,,,,,,shooting,,
