a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,12:00,OFF,jump ball,,Erick Dampier,,,Emeka Okafor,,,,,,,Jason Kidd,,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,11:46,DAL,shot,Jason Kidd,,,,,,,,,Rodrigue Beaubois,2,,,made,,alley oop layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,11:23,NOH,shot,,,,,,,,,,Morris Peterson,,,,missed,,jump,21,24
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,11:22,DAL,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,11:14,DAL,shot,,,,,,,,,,Jason Kidd,,,,missed,,jump,10,24
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,11:13,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,11:04,NOH,shot,,,,,,,,,,Chris Paul,2,,,made,,driving layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,10:51,DAL,turnover,,,,,,,,,,Rodrigue Beaubois,,,bad pass,,Emeka Okafor,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,10:44,NOH,shot,Chris Paul,,,,,,,,,Morris Peterson,3,,,made,,3pt,45,21
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,10:31,NOH,foul,,,,,,,,Shawn Marion,,Julian Wright,,,,,,personal,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,10:25,DAL,shot,Jason Kidd,,,,,,,,,Rodrigue Beaubois,3,,,made,,3pt,36,29
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,10:05,NOH,shot,Julian Wright,,,,,,,,,Emeka Okafor,2,,,made,,jump,10,11
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,9:40,DAL,shot,,,,,,,,,,Rodrigue Beaubois,2,,,made,,driving layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,9:25,NOH,shot,,,,,,,,,,Julian Wright,,,,missed,,layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Paul,David West,Emeka Okafor,Julian Wright,Morris Peterson,1,9:23,DAL,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
