a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,12:00,OFF,jump ball,,David Lee,,,Andrew Bogut,,,,,,,Larry Hughes,,,,,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,11:44,NYK,shot,Larry Hughes,,,,,,,,,Danilo Gallinari,3,,,made,,3pt,22,32
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,11:31,MIL,turnover,,,,,,,,,,Charlie Bell,,,traveling,,,,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,11:13,NYK,shot,,,,,,,,,,David Lee,2,,,made,,jump,29,12
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,10:59,MIL,shot,,,,,,,,,,Andrew Bogut,2,,,made,,hook,31,10
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,10:42,NYK,shot,Chris Duhon,,,,,,,,,Larry Hughes,3,,,made,,3pt,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,10:23,MIL,shot,,,,,,,,,,Hakim Warrick,2,,,made,,hook,19,8
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,10:06,NYK,shot,Chris Duhon,,,,,,,,,Danilo Gallinari,2,,,made,,jump,46,5
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,9:48,MIL,shot,,,,,,,,,,Andrew Bogut,2,,,made,,running hook,20,6
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Hakim Warrick,1,9:43,MIL,foul,,,,,,,,Chris Duhon,,Brandon Jennings,,,,,,personal,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Ersan Ilyasova,1,9:43,MIL,sub,,,,Ersan Ilyasova,,Hakim Warrick,,,,,,,,,,,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Ersan Ilyasova,1,9:32,NYK,turnover,,,,,,,,,,Wilson Chandler,,,out of bounds lost ball turnover,,,,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Andrew Bogut,Brandon Jennings,Carlos Delfino,Charlie Bell,Ersan Ilyasova,1,9:24,NYK,foul,,,,,,,,Andrew Bogut,,Danilo Gallinari,,,,,,personal,,
