a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,12:00,OFF,jump ball,,Luis Scola,,,Erick Dampier,,,,,,,Dirk Nowitzki,,,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,11:47,DAL,shot,Jason Kidd,,,,,,,,,Erick Dampier,2,,,made,,layup,25,6
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,11:23,HOU,shot,,,,,,,,,,Trevor Ariza,,,,missed,,jump,14,20
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,11:22,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,off,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,11:17,HOU,shot,,,,,,,,,,Shane Battier,,,,missed,,3pt,15,31
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,11:16,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,11:10,DAL,turnover,,,,,,,,,,Jason Kidd,,,bad pass,,Shane Battier,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,11:06,HOU,turnover,,,,,,,,,,Trevor Ariza,,,traveling,,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,11:01,DAL,shot,,,,,,,,,,Shawn Marion,,,,missed,,layup,25,6
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,10:59,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,10:45,HOU,shot,,,Erick Dampier,,,,,,,Chuck Hayes,,,,missed,,running jump,36,13
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,10:44,DAL,rebound,,,,,,,,,,Josh Howard,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,10:37,DAL,foul,,,,,,,,Chuck Hayes,,Josh Howard,,,,,,offensive,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,10:37,DAL,turnover,,,,,,,,,,Josh Howard,,,foul,,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,10:21,HOU,shot,,,,,,,,,,Trevor Ariza,,,,missed,,running jump,30,13
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,10:20,HOU,rebound,,,,,,,,,,Trevor Ariza,,,,,,off,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,10:18,HOU,shot,,,,,,,,,,Trevor Ariza,2,,,made,,tip,25,6
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,10:05,DAL,shot,Dirk Nowitzki,,,,,,,,,Josh Howard,2,,,made,,jump,47,6
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,9:57,HOU,shot,,,,,,,,,,Aaron Brooks,2,,,made,,driving layup,25,6
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,9:46,HOU,foul,,,,,,,,,,Chuck Hayes,,,,,,defense 3 second,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,9:46,DAL,free throw,,,,,,,1,,1,Dirk Nowitzki,,,technical,made,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,9:33,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,17,23
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,9:33,HOU,rebound,,,,,,,,,,,,,,,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,9:24,HOU,foul,,,,,,,,Erick Dampier,,Trevor Ariza,,,,,,offensive,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Shawn Marion,1,9:24,HOU,turnover,,,,,,,,,,Trevor Ariza,,,foul,,,,,
