a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,12:00,OFF,jump ball,,Jeff Green,,,DeJuan Blair,,,,,,,Nenad Krstic,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:45,OKC,shot,,,,,,,,,,Nenad Krstic,,,,missed,,jump,12,15
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:43,SAS,rebound,,,,,,,,,,Richard Jefferson,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:27,SAS,shot,Tony Parker,,,,,,,,,Tim Duncan,2,,,made,,jump,28,23
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:02,OKC,shot,,,,,,,,,,Nenad Krstic,,,,missed,,jump,24,24
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:00,SAS,rebound,,,,,,,,,,Tony Parker,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:49,SAS,shot,,,,,,,,,,Tim Duncan,,,,missed,,jump,25,25
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:47,OKC,rebound,,,,,,,,,,Kevin Durant,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:24,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,39,5
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:23,OKC,rebound,,,,,,,,,,,,,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:20,OKC,shot,Kevin Durant,,,,,,,,,Nenad Krstic,2,,,made,,layup,23,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:09,SAS,turnover,,,,,,,,,,Tony Parker,,,bad pass,,Thabo Sefolosha,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:06,OKC,shot,,,,,,,,,,Thabo Sefolosha,2,,,made,,dunk,25,7
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,9:57,SAS,shot,,,Jeff Green,,,,,,,DeJuan Blair,,,,missed,,layup,23,7
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,9:56,OKC,rebound,,,,,,,,,,,,,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,9:46,SAS,foul,,,,,,,,Kevin Durant,,DeJuan Blair,,,,,,personal,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,9:39,OKC,shot,,,Tim Duncan,,,,,,,Nenad Krstic,,,,missed,,layup,24,7
