a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,12:00,OFF,jump ball,,Mikki Moore,,,Kendrick Perkins,,,,,,,Ray Allen,,,,,,
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:42,GSW,foul,,,,,,,,Kendrick Perkins,,Mikki Moore,,,,,,shooting,,
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:42,BOS,free throw,,,,,,,1,,2,Kendrick Perkins,,,foul,made,,,,
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:42,BOS,free throw,,,,,,,2,,2,Kendrick Perkins,,,foul,made,,,,
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:31,BOS,foul,,,,,,,,Monta Ellis,,Rajon Rondo,,,,,,personal,,
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:25,GSW,turnover,,,,,,,,,,Stephen Curry,,,discontinue dribble,,,,,
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:11,BOS,shot,Kendrick Perkins,,,,,,,,,Ray Allen,2,,,made,,driving jump,25,9
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:58,GSW,shot,Monta Ellis,,,,,,,,,Mikki Moore,2,,,made,,dunk,25,6
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:42,BOS,shot,Rajon Rondo,,,,,,,,,Paul Pierce,2,,,made,,jump,4,8
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:24,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,jump,24,25
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:24,BOS,rebound,,,,,,,,,,Rajon Rondo,,,,,,def,,
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:15,BOS,shot,,,,,,,,,,Kevin Garnett,,,,missed,,jump,30,12
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:14,GSW,rebound,,,,,,,,,,Corey Maggette,,,,,,def,,
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:03,GSW,shot,Vladimir Radmanovic,,,,,,,,,Corey Maggette,3,,,made,,3pt,9,24
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:48,GSW,foul,,,,,,,,Kendrick Perkins,,Mikki Moore,,,,,,shooting,,
Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:48,BOS,free throw,,,,,,,1,,2,Kendrick Perkins,,,foul,made,,,,
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:48,GSW,sub,,,,Anthony Randolph,,Mikki Moore,,,,,,,,,,,,
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:48,BOS,free throw,,,,,,,2,,2,Kendrick Perkins,,,foul,missed,,,,
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:47,GSW,rebound,,,,,,,,,,Anthony Randolph,,,,,,def,,
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:30,GSW,turnover,,,,,,,,,,Vladimir Radmanovic,,,bad pass,,,,,
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:19,BOS,shot,Rajon Rondo,,,,,,,,,Kevin Garnett,2,,,made,,alley oop dunk,24,6
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:05,GSW,shot,,,,,,,,,,Corey Maggette,,,,missed,,3pt,17,30
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:00,GSW,rebound,,,,,,,,,,,,,,,,,,
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:46,GSW,shot,,,,,,,,,,Anthony Randolph,2,,,made,,step back jump,37,10
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:37,BOS,foul,,,,,,,,Stephen Curry,,Rajon Rondo,,,,,,offensive,,
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:37,BOS,turnover,,,,,,,,,,Rajon Rondo,,,foul,,,,,
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,8:37,BOS,sub,,,,Eddie House,,Rajon Rondo,,,,,,,,,,,,
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,8:25,GSW,shot,,,Paul Pierce,,,,,,,Corey Maggette,,,,missed,,layup,24,7
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,8:25,BOS,rebound,,,,,,,,,,,,,,,,,,
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,8:13,BOS,shot,Paul Pierce,,,,,,,,,Kevin Garnett,2,,,made,,jump,46,6
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,7:55,GSW,shot,,,,,,,,,,Monta Ellis,2,,,made,,driving layup,23,6
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,7:35,BOS,shot,,,,,,,,,,Kendrick Perkins,2,,,made,,jump,23,13
Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Eddie House,Kendrick Perkins,Kevin Garnett,Paul Pierce,Ray Allen,1,7:20,GSW,shot,,,,,,,,,,Vladimir Radmanovic,,,,missed,,jump,22,11
