a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,12:00,OFF,jump ball,,Zydrunas Ilgauskas,,,Roy Hibbert,,,,,,,Dahntay Jones,,,,,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:38,IND,shot,,,Zydrunas Ilgauskas,,,,,,,Roy Hibbert,,,,missed,,jump,15,9
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:36,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,off,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:35,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,jump,15,20
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:33,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:28,CLE,shot,,,,,,,,,,LeBron James,2,,,made,,pullup jump,30,25
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:20,CLE,foul,,,,,,,,Dahntay Jones,,Anthony Parker,,,,,,shooting,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:20,IND,free throw,,,,,,,1,,2,Dahntay Jones,,,foul,made,,,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:20,IND,free throw,,,,,,,2,,2,Dahntay Jones,,,foul,made,,,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:07,CLE,shot,,,Danny Granger,,,,,,,Zydrunas Ilgauskas,,,,missed,,jump,31,9
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:05,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,off,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:04,CLE,shot,,,,,,,,,,Zydrunas Ilgauskas,,,,missed,,hook,26,11
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:04,CLE,rebound,,,,,,,,,,J.J. Hickson,,,,,,off,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:04,IND,foul,,,,,,,,J.J. Hickson,,Brandon Rush,,,,,,shooting,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:04,CLE,free throw,,,,,,,1,,2,J.J. Hickson,,,foul,made,,,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:04,CLE,free throw,,,,,,,2,,2,J.J. Hickson,,,foul,missed,,,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,11:04,IND,rebound,,,,,,,,,,Danny Granger,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,10:49,IND,shot,,,J.J. Hickson,,,,,,,Dahntay Jones,,,,missed,,driving finger roll layup,23,9
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,10:46,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,10:37,CLE,shot,Mo Williams,,,,,,,,,J.J. Hickson,2,,,made,,layup,27,7
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,10:22,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,3pt,23,32
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,10:21,CLE,rebound,,,,,,,,,,Anthony Parker,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,10:11,CLE,shot,,,,,,,,,,Mo Williams,2,,,made,,driving layup,29,7
Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Zydrunas Ilgauskas,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert,T.J. Ford,1,9:52,IND,shot,Roy Hibbert,,,,,,,,,Brandon Rush,3,,,made,,3pt,34,31
