a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Brook Lopez,Chris Douglas-Roberts,Josh Boone,Rafer Alston,Trenton Hassell,1,12:00,OFF,jump ball,,David Lee,,,Brook Lopez,,,,,,,Rafer Alston,,,,,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Brook Lopez,Chris Douglas-Roberts,Josh Boone,Rafer Alston,Trenton Hassell,1,11:34,NJN,shot,,,,,,,,,,Trenton Hassell,2,,,made,,jump,12,21
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Brook Lopez,Chris Douglas-Roberts,Josh Boone,Rafer Alston,Trenton Hassell,1,11:12,NYK,shot,,,,,,,,,,Danilo Gallinari,,,,missed,,layup,25,6
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Brook Lopez,Chris Douglas-Roberts,Josh Boone,Rafer Alston,Trenton Hassell,1,11:11,NJN,rebound,,,,,,,,,,Rafer Alston,,,,,,def,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Brook Lopez,Chris Douglas-Roberts,Josh Boone,Rafer Alston,Trenton Hassell,1,10:47,NJN,shot,,,,,,,,,,Chris Douglas-Roberts,2,,,made,,jump,44,19
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Brook Lopez,Chris Douglas-Roberts,Josh Boone,Rafer Alston,Trenton Hassell,1,10:36,NYK,shot,Chris Duhon,,,,,,,,,Larry Hughes,3,,,made,,3pt,7,23
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Brook Lopez,Chris Douglas-Roberts,Josh Boone,Rafer Alston,Trenton Hassell,1,10:09,NJN,shot,,,,,,,,,,Trenton Hassell,,,,missed,,jump,23,24
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Brook Lopez,Chris Douglas-Roberts,Josh Boone,Rafer Alston,Trenton Hassell,1,10:07,NYK,rebound,,,,,,,,,,Chris Duhon,,,,,,def,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Brook Lopez,Chris Douglas-Roberts,Josh Boone,Rafer Alston,Trenton Hassell,1,10:01,NYK,shot,,,,,,,,,,Danilo Gallinari,,,,missed,,3pt,40,25
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Brook Lopez,Chris Douglas-Roberts,Josh Boone,Rafer Alston,Trenton Hassell,1,9:59,NJN,rebound,,,,,,,,,,Chris Douglas-Roberts,,,,,,def,,
Chris Duhon,Danilo Gallinari,David Lee,Larry Hughes,Wilson Chandler,Brook Lopez,Chris Douglas-Roberts,Josh Boone,Rafer Alston,Trenton Hassell,1,9:49,NJN,shot,,,,,,,,,,Rafer Alston,,,,missed,,3pt,46,18
