a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Anthony Morrow,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,12:00,OFF,jump ball,,Mikki Moore,,,Brook Lopez,,,,,,,Josh Boone,,,,,,
Anthony Morrow,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,11:43,NJN,turnover,,,,,,,,,,Brook Lopez,,,bad pass,,Monta Ellis,,,
Anthony Morrow,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,11:37,GSW,shot,Monta Ellis,,,,,,,,,Stephen Curry,2,,,made,,layup,25,6
Anthony Morrow,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,11:17,NJN,shot,,,,,,,,,,Josh Boone,,,,missed,,jump,38,10
Anthony Morrow,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,11:16,GSW,rebound,,,,,,,,,,Anthony Morrow,,,,,,def,,
Anthony Morrow,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,11:05,NJN,foul,,,,,,,,,,Brook Lopez,,,,,,defense 3 second,,
Anthony Morrow,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,11:05,GSW,free throw,,,,,,,1,,1,Anthony Morrow,,,technical,made,,,,
Anthony Morrow,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,10:56,GSW,turnover,,,,,,,,,,Monta Ellis,,,lost ball,,Josh Boone,,,
Anthony Morrow,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,10:42,NJN,shot,,,,,,,,,,Courtney Lee,2,,,made,,driving layup,25,6
Anthony Morrow,Mikki Moore,Monta Ellis,Stephen Curry,Vladimir Radmanovic,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,10:30,GSW,shot,,,,,,,,,,Stephen Curry,2,,,made,,jump,15,19
