a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,12:00,OFF,jump ball,,Erick Dampier,,,Joel Anthony,,,,,,,Michael Beasley,,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,11:39,MIA,shot,,,,,,,,,,Michael Beasley,,,,missed,,jump,14,24
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,11:38,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,11:23,DAL,shot,,,Joel Anthony,,,,,,,Erick Dampier,,,,missed,,layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,11:21,DAL,rebound,,,,,,,,,,Shawn Marion,,,,,,off,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,11:17,DAL,shot,,,,,,,,,,Shawn Marion,,,,missed,,jump,34,11
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,11:16,MIA,rebound,,,,,,,,,,Joel Anthony,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,11:09,MIA,shot,,,Dirk Nowitzki,,,,,,,Joel Anthony,,,,missed,,dunk,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,11:08,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,11:00,DAL,shot,,,,,,,,,,Jose Juan Barea,,,,missed,,jump,17,10
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,10:59,MIA,rebound,,,,,,,,,,,,,,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,10:41,MIA,shot,,,,,,,,,,Quentin Richardson,,,,missed,,3pt,33,30
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,10:40,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,10:31,DAL,shot,Jose Juan Barea,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,41,12
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,10:10,DAL,foul,,,,,,,,Michael Beasley,,Erick Dampier,,,,,,shooting,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,10:10,MIA,free throw,,,,,,,1,,2,Michael Beasley,,,foul,missed,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,10:10,MIA,rebound,,,,,,,,,,,,,,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,10:10,MIA,free throw,,,,,,,2,,2,Michael Beasley,,,foul,made,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,9:56,DAL,turnover,,,,,,,,,,Jason Kidd,,,bad pass,,Joel Anthony,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,9:50,MIA,shot,,,,,,,,,,Quentin Richardson,,,,missed,,3pt,37,29
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,9:48,MIA,rebound,,,,,,,,,,Michael Beasley,,,,,,off,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,9:47,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,9:44,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,9:35,DAL,shot,,,,,,,,,,Jason Kidd,,,,missed,,3pt,7,24
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,9:34,MIA,rebound,,,,,,,,,,Mario Chalmers,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,9:28,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,34,19
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,9:27,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,9:16,DAL,shot,Jose Juan Barea,,,,,,,,,Erick Dampier,2,,,made,,layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,8:58,MIA,turnover,,,,,,,,,,Michael Beasley,,,lost ball,,Jason Kidd,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Dwyane Wade,Joel Anthony,Mario Chalmers,Michael Beasley,Quentin Richardson,1,8:36,DAL,shot,Dirk Nowitzki,,,,,,,,,Erick Dampier,2,,,made,,dunk,25,6
