a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,12:00,OFF,jump ball,,Roy Hibbert,,,Brendan Haywood,,,,,,,T.J. Ford,,,,,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,11:50,IND,shot,,,,,,,,,,T.J. Ford,,,,missed,,jump,28,10
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,11:49,WAS,rebound,,,,,,,,,,Gilbert Arenas,,,,,,def,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,11:36,WAS,shot,,,,,,,,,,Gilbert Arenas,,,,missed,,jump,23,26
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,11:35,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,def,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,11:25,IND,shot,,,,,,,,,,T.J. Ford,,,,missed,,jump,9,17
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,11:24,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,def,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,11:18,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,10,17
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,11:17,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,off,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,11:14,WAS,shot,,,Roy Hibbert,,,,,,,Brendan Haywood,,,,missed,,layup,25,7
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,11:12,IND,rebound,,,,,,,,,,Brandon Rush,,,,,,def,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,11:04,IND,shot,,,,,,,,,,Dahntay Jones,,,,missed,,jump,8,15
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,11:03,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,off,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,10:43,IND,shot,,,,,,,,,,Troy Murphy,2,,,made,,jump,36,17
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,10:28,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,32,8
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,10:27,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,off,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,10:23,WAS,shot,,,,,,,,,,Caron Butler,2,,,made,,layup,25,7
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,9:57,IND,shot,,,,,,,,,,Dahntay Jones,2,,,made,,jump,40,18
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,9:37,WAS,shot,DeShawn Stevenson,,,,,,,,,Brendan Haywood,2,,,made,,dunk,24,7
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,9:22,IND,shot,,,,,,,,,,Troy Murphy,,,,missed,,3pt,21,31
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,9:21,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,9:11,WAS,shot,Gilbert Arenas,,,,,,,,,Antawn Jamison,2,,,made,,finger roll layup,26,7
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,8:49,IND,shot,,,Brendan Haywood,,,,,,,Roy Hibbert,,,,missed,,jump,20,6
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,8:48,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,off,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,8:45,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,layup,26,7
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,8:45,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,off,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,8:45,WAS,foul,,,,,,,,Roy Hibbert,,Gilbert Arenas,,,,,,shooting,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,8:45,IND,free throw,,,,,,,1,,2,Roy Hibbert,,,foul,made,,,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,8:45,IND,free throw,,,,,,,2,,2,Roy Hibbert,,,foul,made,,,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,8:29,WAS,shot,,,,,,,,,,DeShawn Stevenson,,,,missed,,3pt,49,17
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,8:27,WAS,rebound,,,,,,,,,,Gilbert Arenas,,,,,,off,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,8:22,WAS,shot,Gilbert Arenas,,,,,,,,,Caron Butler,2,,,made,,layup,26,8
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,8:07,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,jump,19,6
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,8:06,WAS,rebound,,,,,,,,,,Gilbert Arenas,,,,,,def,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,8:04,WAS,turnover,,,,,,,,,,Gilbert Arenas,,,bad pass,,Troy Murphy,,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,7:50,IND,shot,,,,,,,,,,Dahntay Jones,,,,missed,,jump,7,5
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,7:49,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,off,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,7:45,IND,shot,,,,,,,,,,Roy Hibbert,2,,,made,,putback layup,25,5
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,7:29,WAS,shot,Gilbert Arenas,,,,,,,,,Caron Butler,2,,,made,,jump,45,4
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,7:12,IND,turnover,,,,,,,,,,Roy Hibbert,,,bad pass,,,,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,6:55,WAS,shot,DeShawn Stevenson,,,,,,,,,Gilbert Arenas,3,,,made,,3pt,47,24
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,6:45,IND,shot,,,,,,,,,,T.J. Ford,2,,,made,,driving layup,24,6
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,6:33,WAS,turnover,,,,,,,,,,Gilbert Arenas,,,bad pass,,Troy Murphy,,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,6:27,IND,shot,,,,,,,,,,Dahntay Jones,2,,,made,,running bank,20,8
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,6:15,IND,foul,,,,,,,,Gilbert Arenas,,T.J. Ford,,,,,,shooting,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,6:15,WAS,free throw,,,,,,,1,,2,Gilbert Arenas,,,foul,missed,,,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,6:15,WAS,rebound,,,,,,,,,,,,,,,,,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,6:15,WAS,free throw,,,,,,,2,,2,Gilbert Arenas,,,foul,made,,,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,5:54,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,jump,34,4
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,5:53,WAS,rebound,,,,,,,,,,Caron Butler,,,,,,def,,
Brandon Rush,Dahntay Jones,Roy Hibbert,T.J. Ford,Troy Murphy,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,1,5:43,IND,foul,,,,,,,,Caron Butler,,Dahntay Jones,,,,,,shooting,,
