a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,12:00,OFF,jump ball,,Al Jefferson,,,Mehmet Okur,,,,,,,Deron Williams,,,,,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,11:43,UTA,shot,,,,,,,,,,Ronnie Brewer,,,,missed,,jump,9,4
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,11:43,MIN,rebound,,,,,,,,,,Kevin Love,,,,,,def,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,11:30,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,turnaround jump,29,19
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,11:28,UTA,rebound,,,,,,,,,,Ronnie Brewer,,,,,,def,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,11:08,UTA,shot,Wesley Matthews,,,,,,,,,Carlos Boozer,2,,,made,,turnaround fade away,9,4
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,10:53,UTA,foul,,,,,,,,Corey Brewer,,Ronnie Brewer,,,,,,shooting,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,10:53,MIN,free throw,,,,,,,1,,2,Corey Brewer,,,foul,made,,,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,10:53,MIN,free throw,,,,,,,2,,2,Corey Brewer,,,foul,made,,,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,10:40,UTA,shot,,,,,,,,,,Wesley Matthews,,,,missed,,layup,25,6
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,10:39,MIN,rebound,,,,,,,,,,Corey Brewer,,,,,,def,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,10:35,UTA,foul,,,,,,,,Corey Brewer,,Wesley Matthews,,,,,,personal,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,10:27,MIN,shot,Al Jefferson,,,,,,,,,Jonny Flynn,3,,,made,,3pt,23,31
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,10:15,MIN,foul,,,,,,,,Deron Williams,,Corey Brewer,,,,,,shooting,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,10:15,UTA,free throw,,,,,,,1,,2,Deron Williams,,,foul,made,,,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,10:15,UTA,free throw,,,,,,,2,,2,Deron Williams,,,foul,made,,,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,10:07,UTA,foul,,,,,,,,Jonny Flynn,,Deron Williams,,,,,,personal,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,10:00,MIN,turnover,,,,,,,,,,Kevin Love,,,traveling,,,,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,9:49,UTA,turnover,,,,,,,,,,Carlos Boozer,,,bad pass,,,,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,9:36,MIN,shot,Al Jefferson,,,,,,,,,Jonny Flynn,3,,,made,,3pt,30,30
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,9:20,UTA,shot,,,,,,,,,,Deron Williams,,,,missed,,3pt,41,25
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,9:18,MIN,rebound,,,,,,,,,,Kevin Love,,,,,,def,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,9:11,MIN,shot,,,,,,,,,,Jonny Flynn,2,,,made,,driving layup,25,6
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,9:01,UTA,shot,,,,,,,,,,Carlos Boozer,,,,missed,,jump,24,23
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,9:00,MIN,rebound,,,,,,,,,,Corey Brewer,,,,,,def,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Wesley Matthews,1,8:51,MIN,shot,,,Mehmet Okur,,,,,,,Al Jefferson,,,,missed,,layup,27,9
