a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,12:00,OFF,jump ball,,Marc Gasol,,,Erick Dampier,,,,,,,Zach Randolph,,,,,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,11:41,MEM,shot,,,,,,,,,,Zach Randolph,2,,,made,,jump,14,22
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,11:19,DAL,shot,,,,,,,,,,Shawn Marion,,,,missed,,jump hook,29,12
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,11:18,MEM,rebound,,,,,,,,,,Rudy Gay,,,,,,def,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:58,MEM,shot,,,,,,,,,,Rudy Gay,,,,missed,,jump,18,16
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:58,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:58,MEM,foul,,,,,,,,Erick Dampier,,Marc Gasol,,,,,,loose ball,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:48,DAL,shot,,,,,,,,,,Jose Juan Barea,2,,,made,,pullup jump,22,21
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:20,MEM,shot,,,,,,,,,,Rudy Gay,,,,missed,,jump,12,22
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:19,DAL,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:10,DAL,shot,,,,,,,,,,Jason Kidd,,,,missed,,3pt,46,19
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:09,MEM,rebound,,,,,,,,,,Rudy Gay,,,,,,def,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:02,MEM,shot,O.J. Mayo,,,,,,,,,Marc Gasol,2,,,made,,layup,25,6
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,9:41,DAL,shot,,,,,,,,,,Jason Kidd,2,,,made,,floating jump,34,11
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,9:27,MEM,shot,Zach Randolph,,,,,,,,,Marc Gasol,2,,,made,,hook bank,31,9
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,9:09,DAL,shot,Shawn Marion,,,,,,,,,Erick Dampier,2,,,made,,layup,25,6
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,8:45,MEM,shot,Zach Randolph,,,,,,,,,O.J. Mayo,2,,,made,,jump,8,11
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,8:25,DAL,shot,,,,,,,,,,Jose Juan Barea,,,,missed,,3pt,46,18
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,8:24,MEM,rebound,,,,,,,,,,Zach Randolph,,,,,,def,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,8:15,MEM,shot,,,,,,,,,,Zach Randolph,,,,missed,,floating jump,23,15
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,8:14,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,8:07,DAL,shot,,,,,,,,,,Jose Juan Barea,2,,,made,,driving layup,25,6
Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,8:07,MEM,foul,,,,,,,,Jose Juan Barea,,Mike Conley,,,,,,shooting,,
