a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,12:00,OFF,jump ball,,Kendrick Perkins,,,Amare Stoudemire,,,,,,,Rajon Rondo,,,,,,
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:47,BOS,shot,,,Channing Frye,,,,,,,Rajon Rondo,,,,missed,,jump,34,12
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:47,BOS,rebound,,,,,,,,,,,,,,,,,,
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:36,BOS,shot,,,,,,,,,,Kendrick Perkins,2,,,made,,turnaround fade away,33,10
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:22,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,jump,39,18
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:20,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,off,,
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:14,PHX,shot,,,,,,,,,,Amare Stoudemire,2,,,made,,hook,25,14
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,10:57,BOS,shot,Rajon Rondo,,,,,,,,,Ray Allen,2,,,made,,jump,13,7
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,10:40,PHX,shot,Steve Nash,,,,,,,,,Amare Stoudemire,2,,,made,,slam dunk,25,6
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,10:18,BOS,shot,,,,,,,,,,Rasheed Wallace,,,,missed,,3pt,10,26
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,10:15,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,10:12,PHX,turnover,,,,,,,,,,Steve Nash,,,bad pass,,Tony Allen,,,
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,10:07,BOS,shot,,,,,,,,,,Tony Allen,2,,,made,,layup,25,6
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,9:56,PHX,shot,,,,,,,,,,Steve Nash,2,,,made,,jump bank,14,10
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,9:45,BOS,turnover,,,,,,,,,,Tony Allen,,,bad pass,,,,,
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,9:36,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,layup,25,6
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,9:35,BOS,rebound,,,,,,,,,,Tony Allen,,,,,,def,,
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,9:32,BOS,shot,Tony Allen,,,,,,,,,Rasheed Wallace,2,,,made,,dunk,25,6
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,9:13,PHX,shot,Jason Richardson,,,,,,,,,Amare Stoudemire,2,,,made,,jump,30,24
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,9:02,BOS,shot,,,,,,,,,,Ray Allen,,,,missed,,3pt,17,29
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:59,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:53,PHX,shot,,,,,,,,,,Steve Nash,,,,missed,,3pt,36,30
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:51,BOS,rebound,,,,,,,,,,Ray Allen,,,,,,def,,
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:37,BOS,shot,,,,,,,,,,Rasheed Wallace,,,,missed,,jump,24,13
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:35,BOS,rebound,,,,,,,,,,Rasheed Wallace,,,,,,off,,
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:35,BOS,shot,,,,,,,,,,Rasheed Wallace,2,,,made,,tip,25,6
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:26,PHX,shot,,,,,,,,,,Grant Hill,,,,missed,,jump,41,15
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:24,BOS,rebound,,,,,,,,,,Ray Allen,,,,,,def,,
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:19,BOS,shot,,,,,,,,,,Ray Allen,2,,,made,,running bank,18,10
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:04,PHX,shot,Steve Nash,,,,,,,,,Amare Stoudemire,2,,,made,,jump,21,17
Kendrick Perkins,Rajon Rondo,Rasheed Wallace,Ray Allen,Tony Allen,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,7:36,BOS,shot,,,,,,,,,,Tony Allen,,,,missed,,jump,9,5
