a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,1,12:00,OFF,jump ball,,Mehmet Okur,,,Al Jefferson,,,,,,,Carlos Boozer,,,,,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,1,11:40,UTA,shot,,,,,,,,,,Mehmet Okur,,,,missed,,fade away jumper,33,8
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,1,11:39,MIN,rebound,,,,,,,,,,Damien Wilkins,,,,,,def,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,1,11:34,MIN,shot,Damien Wilkins,,,,,,,,,Corey Brewer,2,,,made,,driving dunk,25,6
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,1,11:13,UTA,shot,Deron Williams,,,,,,,,,C.J. Miles,3,,,made,,3pt,7,24
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,1,10:58,MIN,turnover,,,,,,,,,,Corey Brewer,,,bad pass,,Ronnie Brewer,,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,1,10:51,UTA,shot,,,Al Jefferson,,,,,,,Carlos Boozer,,,,missed,,jump,21,8
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,1,10:50,UTA,rebound,,,,,,,,,,,,,,,,,,
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,1,10:43,UTA,shot,,,,,,,,,,Mehmet Okur,,,,missed,,jump,29,27
C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,1,10:42,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
