a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,12:00,OFF,jump ball,,Nazr Mohammed,,,Shaquille O'Neal,,,,,,,LeBron James,,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,11:39,CLE,shot,Mo Williams,,,,,,,,,LeBron James,2,,,made,,driving layup,26,7
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,11:16,CHA,shot,,,,,,,,,,Raymond Felton,2,,,made,,floating jump,28,11
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,10:57,CLE,turnover,,,,,,,,,,Shaquille O'Neal,,,bad pass,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,10:44,CHA,shot,,,,,,,,,,Stephen Jackson,,,,missed,,jump,10,16
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,10:42,CLE,rebound,,,,,,,,,,Mo Williams,,,,,,def,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,10:37,CLE,shot,,,,,,,,,,LeBron James,,,,missed,,3pt,39,26
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,10:36,CHA,rebound,,,,,,,,,,Gerald Wallace,,,,,,def,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,10:19,CHA,shot,,,,,,,,,,Nazr Mohammed,,,,missed,,jump,40,14
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,10:18,CLE,rebound,,,,,,,,,,J.J. Hickson,,,,,,def,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,10:13,CLE,turnover,,,,,,,,,,Mo Williams,,,out of bounds lost ball turnover,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,9:53,CHA,shot,,,,,,,,,,Stephen Jackson,,,,missed,,turnaround jump,12,13
