a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,1,12:00,OFF,jump ball,,Josh Smith,,,Joel Anthony,,,,,,,Marvin Williams,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,1,11:36,ATL,shot,Joe Johnson,,,,,,,,,Marvin Williams,2,,,made,,jump,3,11
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,1,11:13,MIA,shot,,,,,,,,,,Carlos Arroyo,,,,missed,,3pt,46,19
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,1,11:12,ATL,rebound,,,,,,,,,,Joe Johnson,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,1,10:56,ATL,shot,,,,,,,,,,Mike Bibby,,,,missed,,jump,39,10
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,1,10:55,MIA,rebound,,,,,,,,,,Quentin Richardson,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,1,10:51,ATL,foul,,,,,,,,Michael Beasley,,Mike Bibby,,,,,,personal,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,1,10:34,MIA,shot,Dwyane Wade,,,,,,,,,Joel Anthony,2,,,made,,jump,24,20
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,1,10:23,ATL,turnover,,,,,,,,,,Josh Smith,,,bad pass,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,1,10:10,MIA,foul,,,,,,,,Josh Smith,,Michael Beasley,,,,,,offensive,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,1,10:10,MIA,turnover,,,,,,,,,,Michael Beasley,,,foul,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Carlos Arroyo,Dwyane Wade,Joel Anthony,Michael Beasley,Quentin Richardson,1,9:46,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,jump,36,23
