a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,12:00,OFF,jump ball,,Roy Hibbert,,,Dwight Howard,,,,,,,Vince Carter,,,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:42,ORL,shot,,,,,,,,,,Dwight Howard,,,,missed,,layup,25,6
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:41,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,off,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:41,IND,foul,,,,,,,,Dwight Howard,,Danny Granger,,,,,,shooting,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:41,ORL,free throw,,,,,,,1,,2,Dwight Howard,,,foul,made,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:41,ORL,free throw,,,,,,,2,,2,Dwight Howard,,,foul,made,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:18,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,jump,39,15
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:16,ORL,rebound,,,,,,,,,,Jameer Nelson,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:09,ORL,shot,,,Roy Hibbert,,,,,,,Dwight Howard,,,,missed,,layup,25,6
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:06,ORL,rebound,,,,,,,,,,Matt Barnes,,,,,,off,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:03,ORL,turnover,,,,,,,,,,Dwight Howard,,,3 second violation,,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:56,IND,foul,,,,,,,,Matt Barnes,,Danny Granger,,,,,,offensive,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:56,IND,turnover,,,,,,,,,,Danny Granger,,,foul,,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:39,ORL,shot,Vince Carter,,,,,,,,,Jameer Nelson,3,,,made,,3pt,33,30
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:24,IND,shot,Roy Hibbert,,,,,,,,,Brandon Rush,2,,,made,,layup,25,6
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:12,ORL,foul,,,,,,,,Earl Watson,,Dwight Howard,,,,,,offensive,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:12,ORL,turnover,,,,,,,,,,Dwight Howard,,,foul,,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:04,IND,shot,,,Rashard Lewis,,,,,,,Danny Granger,,,,missed,,layup,25,6
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:01,ORL,rebound,,,,,,,,,,Rashard Lewis,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:52,ORL,shot,Matt Barnes,,,,,,,,,Vince Carter,3,,,made,,3pt,38,29
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:39,IND,foul,,,,,,,,Matt Barnes,,Danny Granger,,,,,,offensive,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:39,IND,turnover,,,,,,,,,,Danny Granger,,,foul,,,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:39,IND,sub,,,,Mike Dunleavy,,Danny Granger,,,,,,,,,,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:29,ORL,shot,Vince Carter,,,,,,,,,Rashard Lewis,3,,,made,,3pt,43,24
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:12,ORL,foul,,,,,,,,Roy Hibbert,,Jameer Nelson,,,,,,shooting,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:12,IND,free throw,,,,,,,1,,2,Roy Hibbert,,,foul,made,,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:12,IND,free throw,,,,,,,2,,2,Roy Hibbert,,,foul,made,,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:00,IND,foul,,,,,,,,Dwight Howard,,Troy Murphy,,,,,,shooting,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:00,ORL,free throw,,,,,,,1,,2,Dwight Howard,,,foul,made,,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:00,ORL,free throw,,,,,,,2,,2,Dwight Howard,,,foul,missed,,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:57,IND,rebound,,,,,,,,,,Mike Dunleavy,,,,,,def,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:52,IND,shot,,,,,,,,,,Brandon Rush,,,,missed,,jump,12,19
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:50,ORL,rebound,,,,,,,,,,Matt Barnes,,,,,,def,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:37,ORL,turnover,,,,,,,,,,Dwight Howard,,,lost ball,,Earl Watson,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:31,IND,shot,,,,,,,,,,Troy Murphy,,,,missed,,jump,10,12
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:30,ORL,rebound,,,,,,,,,,Matt Barnes,,,,,,def,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:23,ORL,shot,,,Roy Hibbert,,,,,,,Rashard Lewis,,,,missed,,jump,38,9
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,8:19,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,def,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:59,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,layup,25,6
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:58,ORL,rebound,,,,,,,,,,Rashard Lewis,,,,,,def,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:50,ORL,shot,,,,,,,,,,Rashard Lewis,,,,missed,,3pt,26,33
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:48,IND,rebound,,,,,,,,,,,,,,,,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:35,IND,turnover,,,,,,,,,,Mike Dunleavy,,,bad pass,,Dwight Howard,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:29,ORL,shot,Matt Barnes,,,,,,,,,Dwight Howard,2,,,made,,alley oop dunk,25,6
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:26,IND,timeout,,,,,,,,,,,,,,,,regular,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:18,ORL,foul,,,,,,,,Roy Hibbert,,Jameer Nelson,,,,,,shooting,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,7:18,IND,free throw,,,,,,,1,,2,Roy Hibbert,,,foul,made,,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,7:18,ORL,sub,,,,Jason Williams,,Jameer Nelson,,,,,,,,,,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,7:18,IND,free throw,,,,,,,2,,2,Roy Hibbert,,,foul,missed,,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,7:16,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,off,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,7:07,IND,shot,Troy Murphy,,,,,,,,,Mike Dunleavy,3,,,made,,3pt,25,31
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,6:52,ORL,shot,,,,,,,,,,Vince Carter,,,,missed,,jump,15,15
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,6:51,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,off,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,6:50,IND,foul,,,,,,,,Dwight Howard,,Roy Hibbert,,,,,,shooting,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,6:50,ORL,free throw,,,,,,,1,,2,Dwight Howard,,,foul,made,,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,6:50,ORL,free throw,,,,,,,2,,2,Dwight Howard,,,foul,missed,,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,6:48,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,6:41,ORL,foul,,,,,,,,Roy Hibbert,,Vince Carter,,,,,,personal,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,6:33,IND,turnover,,,,,,,,,,Roy Hibbert,,,bad pass,,Dwight Howard,,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,6:28,ORL,shot,Matt Barnes,,,,,,,,,Rashard Lewis,3,,,made,,3pt,3,19
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,6:11,IND,shot,,,,,,,,,,Mike Dunleavy,,,,missed,,jump,11,16
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,6:08,ORL,rebound,,,,,,,,,,Rashard Lewis,,,,,,def,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,5:55,ORL,shot,,,,,,,,,,Matt Barnes,,,,missed,,3pt,49,10
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,5:54,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,5:40,IND,shot,,,,,,,,,,Troy Murphy,,,,missed,,jump,11,21
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,5:38,ORL,rebound,,,,,,,,,,Matt Barnes,,,,,,def,,
Brandon Rush,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,Dwight Howard,Jason Williams,Matt Barnes,Rashard Lewis,Vince Carter,1,5:33,ORL,shot,Jason Williams,,,,,,,,,Matt Barnes,2,,,made,,layup,25,6
