a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,12:00,OFF,jump ball,,Nazr Mohammed,,,Nene Hilario,,,,,,,Boris Diaw,,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,11:42,CHA,shot,,,,,,,,,,Nazr Mohammed,,,,missed,,jump,23,10
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,11:40,DEN,rebound,,,,,,,,,,Nene Hilario,,,,,,def,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,11:25,CHA,foul,,,,,,,,Nene Hilario,,Nazr Mohammed,,,,,,personal,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,11:14,DEN,shot,Kenyon Martin,,,,,,,,,Arron Afflalo,2,,,made,,jump,10,19
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:53,CHA,shot,Boris Diaw,,,,,,,,,Stephen Jackson,3,,,made,,3pt,2,7
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:39,DEN,shot,,,,,,,,,,Chauncey Billups,,,,missed,,jump,8,8
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:38,CHA,rebound,,,,,,,,,,Stephen Jackson,,,,,,def,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:21,CHA,shot,,,,,,,,,,Stephen Jackson,,,,missed,,driving layup,25,6
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:19,DEN,rebound,,,,,,,,,,Kenyon Martin,,,,,,def,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:04,DEN,shot,,,,,,,,,,Chauncey Billups,2,,,made,,finger roll layup,25,6
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:39,CHA,shot,,,,,,,,,,Boris Diaw,2,,,made,,jump hook,24,12
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:28,DEN,turnover,,,,,,,,,,Chauncey Billups,,,bad pass,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:12,CHA,shot,Raymond Felton,,,,,,,,,Boris Diaw,3,,,made,,3pt,33,29
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:51,DEN,shot,Arron Afflalo,,,,,,,,,Nene Hilario,2,,,made,,jump,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:32,CHA,shot,Raymond Felton,,,,,,,,,Gerald Wallace,2,,,made,,jump,43,12
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:22,DEN,shot,,,,,,,,,,Chauncey Billups,2,,,made,,driving finger roll layup,25,6
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:03,CHA,shot,Raymond Felton,,,,,,,,,Gerald Wallace,3,,,made,,3pt,48,8
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:54,DEN,turnover,,,,,,,,,,Chauncey Billups,,,bad pass,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:36,CHA,turnover,,,,,,,,,,Raymond Felton,,,bad pass,,Arron Afflalo,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:33,DEN,shot,,,,,,,,,,Arron Afflalo,2,,,made,,driving finger roll layup,25,6
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:11,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,3pt,38,28
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:10,DEN,rebound,,,,,,,,,,Chauncey Billups,,,,,,def,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,7:03,DEN,shot,Arron Afflalo,,,,,,,,,Kenyon Martin,2,,,made,,jump,31,26
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,6:41,CHA,shot,Raymond Felton,,,,,,,,,Boris Diaw,2,,,made,,layup,25,6
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,6:20,DEN,shot,Chauncey Billups,,,,,,,,,Kenyon Martin,2,,,made,,jump hook,31,11
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,6:06,CHA,shot,Stephen Jackson,,,,,,,,,Nazr Mohammed,2,,,made,,layup,25,6
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,5:52,DEN,shot,Arron Afflalo,,,,,,,,,Nene Hilario,2,,,made,,finger roll layup,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,5:31,DEN,foul,,,,,,,,Boris Diaw,,Chauncey Billups,,,,,,personal,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,5:31,DEN,timeout,,,,,,,,,,,,,,,,regular,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,5:22,CHA,turnover,,,,,,,,,,Stephen Jackson,,,bad pass,,Nene Hilario,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,5:22,DEN,turnover,,,,,,,,,,Kenyon Martin,,,double dribble,,,,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,5:17,DEN,foul,,,,,,,,Gerald Wallace,,Joey Graham,,,,,,personal,,
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,5:04,CHA,shot,Nazr Mohammed,,,,,,,,,Boris Diaw,2,,,made,,jump,10,21
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,4:48,DEN,shot,,,,,,,,,,Chauncey Billups,3,,,made,,3pt,2,7
Boris Diaw,Gerald Wallace,Nazr Mohammed,Raymond Felton,Stephen Jackson,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,4:31,CHA,turnover,,,,,,,,,,Boris Diaw,,,lost ball,,Chauncey Billups,,,
