a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,12:00,OFF,jump ball,,Joakim Noah,,,Emeka Okafor,,,,,,,Taj Gibson,,,,,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,11:40,CHI,shot,,,,,,,,,,Luol Deng,2,,,made,,jump,21,17
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,11:15,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,24,14
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,11:14,CHI,rebound,,,,,,,,,,Joakim Noah,,,,,,def,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,11:03,CHI,shot,Joakim Noah,,,,,,,,,Taj Gibson,2,,,made,,dunk,25,6
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,10:50,NOH,shot,,,,,,,,,,Peja Stojakovic,,,,missed,,jump,17,23
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,10:49,CHI,rebound,,,,,,,,,,Taj Gibson,,,,,,def,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,10:43,CHI,turnover,,,,,,,,,,Derrick Rose,,,lost ball,,Chris Paul,,,
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,10:39,NOH,shot,Chris Paul,,,,,,,,,Marcus Thornton,3,,,made,,3pt,45,21
Derrick Rose,Joakim Noah,Kirk Hinrich,Luol Deng,Taj Gibson,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,10:16,CHI,shot,,,,,,,,,,Taj Gibson,,,,missed,,jump,32,10
