a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andris Biedrins,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,12:00,OFF,jump ball,,Andris Biedrins,,,Jeff Green,,,,,,,Thabo Sefolosha,,,,,,
Andris Biedrins,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:47,OKC,turnover,,,,,,,,,,Nenad Krstic,,,lost ball,,Corey Maggette,,,
Andris Biedrins,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:41,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,jump,10,13
Andris Biedrins,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:40,GSW,rebound,,,,,,,,,,Corey Maggette,,,,,,off,,
Andris Biedrins,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:36,GSW,shot,Corey Maggette,,,,,,,,,Monta Ellis,2,,,made,,driving layup,25,6
Andris Biedrins,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:17,OKC,turnover,,,,,,,,,,Jeff Green,,,bad pass,,,,,
Andris Biedrins,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:06,GSW,shot,,,,,,,,,,Stephen Curry,2,,,made,,jump,20,21
Andris Biedrins,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:48,OKC,shot,,,,,,,,,,Kevin Durant,2,,,made,,jump,40,11
Andris Biedrins,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:34,OKC,foul,,,,,,,,Andris Biedrins,,Russell Westbrook,,,,,,personal,,
Andris Biedrins,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:26,GSW,shot,,,,,,,,,,Stephen Curry,2,,,made,,jump,9,15
Andris Biedrins,Anthony Tolliver,Corey Maggette,Monta Ellis,Stephen Curry,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:06,OKC,shot,,,,,,,,,,Kevin Durant,2,,,made,,jump,38,12
