a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,12:00,OFF,jump ball,,Spencer Hawes,,,Nene Hilario,,,,,,,Arron Afflalo,,,,,,
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,11:31,DEN,shot,Chauncey Billups,,,,,,,,,Arron Afflalo,2,,,made,,jump,37,17
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,11:09,SAC,shot,,,,,,,,,,Spencer Hawes,2,,,made,,jump hook,21,13
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:54,DEN,shot,,,,,,,,,,Chauncey Billups,,,,missed,,jump,13,20
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:53,SAC,rebound,,,,,,,,,,Kevin Martin,,,,,,def,,
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:47,SAC,shot,Kevin Martin,,,,,,,,,Spencer Hawes,2,,,made,,jump,8,13
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:29,DEN,shot,,,,,,,,,,Joey Graham,,,,missed,,jump,23,14
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:28,SAC,rebound,,,,,,,,,,Donte Greene,,,,,,def,,
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:11,SAC,shot,,,,,,,,,,Jason Thompson,,,,missed,,jump,36,23
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,10:10,DEN,rebound,,,,,,,,,,Arron Afflalo,,,,,,def,,
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:57,DEN,shot,,,,,,,,,,Kenyon Martin,,,,missed,,jump hook,30,13
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:56,SAC,rebound,,,,,,,,,,Spencer Hawes,,,,,,def,,
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:47,SAC,shot,,,,,,,,,,Spencer Hawes,,,,missed,,jump,45,12
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:46,DEN,rebound,,,,,,,,,,Kenyon Martin,,,,,,def,,
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:41,DEN,turnover,,,,,,,,,,Chauncey Billups,,,lost ball,,Beno Udrih,,,
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:31,SAC,shot,Beno Udrih,,,,,,,,,Donte Greene,2,,,made,,jump,10,20
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,9:14,DEN,shot,Arron Afflalo,,,,,,,,,Nene Hilario,2,,,made,,jump,,
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:54,SAC,shot,,,,,,,,,,Beno Udrih,2,,,made,,jump,9,20
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:33,DEN,shot,Chauncey Billups,,,,,,,,,Kenyon Martin,2,,,made,,jump,26,27
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:08,SAC,shot,Jason Thompson,,,,,,,,,Beno Udrih,2,,,made,,finger roll layup,25,6
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:08,DEN,foul,,,,,,,,Beno Udrih,,Chauncey Billups,,,,,,shooting,,
Beno Udrih,Donte Greene,Jason Thompson,Kevin Martin,Spencer Hawes,Arron Afflalo,Chauncey Billups,Joey Graham,Kenyon Martin,Nene Hilario,1,8:08,SAC,free throw,,,,,,,1,,1,Beno Udrih,,,foul,made,,,,
