a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,12:00,OFF,jump ball,,Brendan Haywood,,,Jared Jeffries,,,,,,,Wilson Chandler,,,,,,
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:49,NYK,shot,,,Brendan Haywood,,,,,,,Wilson Chandler,,,,missed,,jump,18,10
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:47,WAS,rebound,,,,,,,,,,DeShawn Stevenson,,,,,,def,,
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:41,NYK,foul,,,,,,,,Mike Miller,,Danilo Gallinari,,,,,,personal,,
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:32,WAS,shot,,,,,,,,,,Randy Foye,,,,missed,,driving layup,25,6
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:31,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,off,,
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:29,WAS,shot,,,,,,,,,,Brendan Haywood,2,,,made,,putback dunk,25,6
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:16,NYK,shot,Chris Duhon,,,,,,,,,David Lee,2,,,made,,jump,17,12
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,10:55,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,running jump,18,8
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,10:53,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,off,,
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,10:52,WAS,shot,,,,,,,,,,Brendan Haywood,2,,,made,,layup,25,6
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,10:37,NYK,shot,,,,,,,,,,Chris Duhon,,,,missed,,jump,9,15
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,10:35,NYK,rebound,,,,,,,,,,Jared Jeffries,,,,,,off,,
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,10:20,NYK,shot,Chris Duhon,,,,,,,,,David Lee,2,,,made,,jump,19,20
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,9:54,WAS,turnover,,,,,,,,,,Mike Miller,,,bad pass,,Wilson Chandler,,,
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,9:40,NYK,shot,,,,,,,,,,Danilo Gallinari,,,,missed,,3pt,40,26
Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Mike Miller,Randy Foye,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,9:38,WAS,rebound,,,,,,,,,,Mike Miller,,,,,,def,,
