a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Erick Dampier,Jason Kidd,Jason Terry,Josh Howard,Shawn Marion,1,12:00,OFF,jump ball,,Ryan Hollins,,,Erick Dampier,,,,,,,Jason Kidd,,,,,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Erick Dampier,Jason Kidd,Jason Terry,Josh Howard,Shawn Marion,1,11:47,DAL,shot,,,,,,,,,,Jason Kidd,,,,missed,,jump,17,21
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Erick Dampier,Jason Kidd,Jason Terry,Josh Howard,Shawn Marion,1,11:44,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Erick Dampier,Jason Kidd,Jason Terry,Josh Howard,Shawn Marion,1,11:26,MIN,shot,Corey Brewer,,,,,,,,,Al Jefferson,2,,,made,,jump,38,7
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Erick Dampier,Jason Kidd,Jason Terry,Josh Howard,Shawn Marion,1,11:05,DAL,shot,,,,,,,,,,Josh Howard,2,,,made,,driving layup,25,6
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Erick Dampier,Jason Kidd,Jason Terry,Josh Howard,Shawn Marion,1,10:49,MIN,shot,,,,,,,,,,Jonny Flynn,,,,missed,,jump,11,5
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Erick Dampier,Jason Kidd,Jason Terry,Josh Howard,Shawn Marion,1,10:46,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Erick Dampier,Jason Kidd,Jason Terry,Josh Howard,Shawn Marion,1,10:21,DAL,shot,,,,,,,,,,Shawn Marion,,,,missed,,jump,39,7
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Erick Dampier,Jason Kidd,Jason Terry,Josh Howard,Shawn Marion,1,10:18,MIN,rebound,,,,,,,,,,Ryan Hollins,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Erick Dampier,Jason Kidd,Jason Terry,Josh Howard,Shawn Marion,1,10:05,MIN,shot,,,,,,,,,,Ryan Hollins,2,,,made,,reverse layup,25,6
