a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,12:00,OFF,jump ball,,Tim Duncan,,,Marcus Camby,,,,,,,Chris Kaman,,,,,,
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:44,LAC,shot,,,,,,,,,,Baron Davis,2,,,made,,turnaround fade away,35,9
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:27,SAS,shot,,,,,,,,,,Tony Parker,,,,missed,,layup,25,6
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:26,LAC,rebound,,,,,,,,,,Baron Davis,,,,,,def,,
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:16,LAC,shot,Baron Davis,,,,,,,,,Chris Kaman,2,,,made,,layup,25,6
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,10:48,SAS,shot,,,,,,,,,,Tony Parker,,,,missed,,jump,16,15
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,10:48,SAS,rebound,,,,,,,,,,Antonio McDyess,,,,,,off,,
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,10:45,SAS,shot,Antonio McDyess,,,,,,,,,George Hill,2,,,made,,jump,37,14
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,10:28,LAC,turnover,,,,,,,,,,Eric Gordon,,,bad pass,,Tim Duncan,,,
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,10:25,LAC,foul,,,,,,,,George Hill,,Eric Gordon,,,,,,shooting,,
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,10:25,SAS,free throw,,,,,,,1,,2,George Hill,,,foul,made,,,,
