a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,12:00,OFF,jump ball,,Jermaine O'Neal,,,Brook Lopez,,,,,,,New Jersey,,,,,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,12:00,MIA,violation,,,,,,,,,,Jermaine O'Neal,,,,,,jump ball,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,11:44,NJN,shot,Courtney Lee,,,,,,,,,Yi Jianlian,2,,,made,,layup,25,6
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,11:23,MIA,shot,Jermaine O'Neal,,,,,,,,,Quentin Richardson,2,,,made,,jump,22,10
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,11:13,NJN,shot,,,,,,,,,,Yi Jianlian,,,,missed,,jump,19,27
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,11:12,NJN,rebound,,,,,,,,,,Yi Jianlian,,,,,,off,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,10:56,NJN,turnover,,,,,,,,,,Brook Lopez,,,bad pass,,Quentin Richardson,,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,10:51,MIA,shot,,,,,,,,,,Quentin Richardson,,,,missed,,layup,25,6
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,10:50,MIA,rebound,,,,,,,,,,Dwyane Wade,,,,,,off,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Brook Lopez,Courtney Lee,Devin Harris,Jarvis Hayes,Yi Jianlian,1,10:49,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,tip,25,6
