a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,12:00,OFF,jump ball,,Roy Hibbert,,,Emeka Okafor,,,,,,,Earl Watson,,,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:48,IND,shot,,,,,,,,,,Troy Murphy,,,,missed,,jump,16,22
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:47,NOH,rebound,,,,,,,,,,Darren Collison,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:33,NOH,shot,,,,,,,,,,Peja Stojakovic,,,,missed,,3pt,1,5
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:30,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,off,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:21,NOH,shot,David West,,,,,,,,,Morris Peterson,3,,,made,,3pt,1,11
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:08,IND,shot,Roy Hibbert,,,,,,,,,Brandon Rush,2,,,made,,jump,30,29
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,10:52,NOH,shot,Darren Collison,,,,,,,,,David West,2,,,made,,jump,7,7
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,10:32,IND,shot,Danny Granger,,,,,,,,,Roy Hibbert,2,,,made,,jump,6,9
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,10:13,NOH,shot,,,,,,,,,,Emeka Okafor,,,,missed,,hook,16,11
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,10:12,IND,rebound,,,,,,,,,,Brandon Rush,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,10:00,IND,shot,,,,,,,,,,Roy Hibbert,2,,,made,,turnaround hook,16,7
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:43,IND,foul,,,,,,,,David West,,Troy Murphy,,,,,,shooting,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:43,NOH,free throw,,,,,,,1,,2,David West,,,foul,made,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:43,NOH,free throw,,,,,,,2,,2,David West,,,foul,made,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:26,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,jump,24,13
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:25,NOH,rebound,,,,,,,,,,Darren Collison,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:18,NOH,shot,,,,,,,,,,Peja Stojakovic,,,,missed,,jump,14,22
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:17,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:07,IND,turnover,,,,,,,,,,Troy Murphy,,,discontinue dribble,,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,8:54,NOH,shot,,,,,,,,,,David West,,,,missed,,layup,25,6
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,8:52,IND,rebound,,,,,,,,,,Danny Granger,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,8:42,IND,shot,,,,,,,,,,Troy Murphy,,,,missed,,3pt,45,21
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,8:41,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,8:29,NOH,turnover,,,,,,,,,,Peja Stojakovic,,,out of bounds lost ball turnover,,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,8:19,NOH,foul,,,,,,,,Earl Watson,,Darren Collison,,,,,,shooting,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,8:19,IND,free throw,,,,,,,1,,2,Earl Watson,,,foul,made,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,8:19,IND,free throw,,,,,,,2,,2,Earl Watson,,,foul,missed,,,,
Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,8:18,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
