a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,12:00,OFF,jump ball,,Jeff Green,,,Wilson Chandler,,,,,,,Danilo Gallinari,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,11:42,NYK,shot,Chris Duhon,,,,,,,,,David Lee,2,,,made,,jump,10,13
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,11:20,OKC,shot,,,,,,,,,,Thabo Sefolosha,,,,missed,,jump,38,8
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,11:18,NYK,rebound,,,,,,,,,,David Lee,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,11:05,NYK,shot,,,Nenad Krstic,,,,,,,Wilson Chandler,,,,missed,,driving layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,11:04,NYK,rebound,,,,,,,,,,,,,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,11:01,NYK,shot,,,,,,,,,,David Lee,,,,missed,,jump,38,17
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,10:59,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,10:48,NYK,foul,,,,,,,,Kevin Durant,,Wilson Chandler,,,,,,shooting,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,10:48,OKC,free throw,,,,,,,1,,2,Kevin Durant,,,foul,made,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,10:48,OKC,free throw,,,,,,,2,,2,Kevin Durant,,,foul,made,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,10:29,NYK,turnover,,,,,,,,,,Wilson Chandler,,,lost ball,,Thabo Sefolosha,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,10:25,OKC,shot,Russell Westbrook,,,,,,,,,Kevin Durant,2,,,made,,slam dunk,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,10:04,NYK,shot,,,,,,,,,,Wilson Chandler,2,,,made,,driving layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,9:44,OKC,shot,,,,,,,,,,Kevin Durant,2,,,made,,jump,9,22
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,9:31,OKC,foul,,,,,,,,Tracy McGrady,,Nenad Krstic,,,,,,shooting,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,9:31,NYK,free throw,,,,,,,1,,2,Tracy McGrady,,,foul,made,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,9:31,NYK,free throw,,,,,,,2,,2,Tracy McGrady,,,foul,made,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,9:12,OKC,shot,,,,,,,,,,Russell Westbrook,2,,,made,,pullup jump,19,11
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,8:59,NYK,shot,Tracy McGrady,,,,,,,,,David Lee,2,,,made,,driving dunk,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,8:40,OKC,shot,,,,,,,,,,Jeff Green,,,,missed,,jump hook,30,11
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,8:39,OKC,rebound,,,,,,,,,,Nenad Krstic,,,,,,off,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,8:39,OKC,shot,,,,,,,,,,Nenad Krstic,,,,missed,,tip,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,8:38,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,off,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,8:37,OKC,shot,,,,,,,,,,Jeff Green,2,,,made,,layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,8:18,NYK,shot,Tracy McGrady,,,,,,,,,David Lee,2,,,made,,jump,7,16
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,8:03,OKC,shot,,,,,,,,,,Nenad Krstic,,,,missed,,jump,11,8
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,8:01,NYK,rebound,,,,,,,,,,Chris Duhon,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,7:45,NYK,shot,,,,,,,,,,Tracy McGrady,2,,,made,,driving layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,7:45,OKC,foul,,,,,,,,Tracy McGrady,,Nenad Krstic,,,,,,shooting,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,7:45,OKC,sub,,,,Nick Collison,,Nenad Krstic,,,,,,,,,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,7:45,NYK,free throw,,,,,,,1,,1,Tracy McGrady,,,foul,made,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,7:32,OKC,shot,,,,,,,,,,Kevin Durant,2,,,made,,driving layup,25,6
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,7:16,NYK,turnover,,,,,,,,,,Tracy McGrady,,,out of bounds lost ball turnover,,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,7:06,OKC,shot,,,,,,,,,,Russell Westbrook,2,,,made,,driving layup,25,6
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,6:40,NYK,shot,,,,,,,,,,Tracy McGrady,,,,missed,,3pt,47,17
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,6:38,OKC,rebound,,,,,,,,,,Thabo Sefolosha,,,,,,def,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,6:34,OKC,turnover,,,,,,,,,,Russell Westbrook,,,bad pass,,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Tracy McGrady,Wilson Chandler,1,6:25,OKC,foul,,,,,,,,David Lee,,Nick Collison,,,,,,shooting,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Eddie House,Wilson Chandler,1,6:25,NYK,sub,,,,Eddie House,,Tracy McGrady,,,,,,,,,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Eddie House,Wilson Chandler,1,6:25,NYK,free throw,,,,,,,1,,2,David Lee,,,foul,made,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Eddie House,Wilson Chandler,1,6:25,NYK,free throw,,,,,,,2,,2,David Lee,,,foul,made,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Eddie House,Wilson Chandler,1,6:10,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,43,15
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Eddie House,Wilson Chandler,1,6:09,NYK,rebound,,,,,,,,,,Eddie House,,,,,,def,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Eddie House,Wilson Chandler,1,5:58,NYK,shot,Danilo Gallinari,,,,,,,,,Eddie House,3,,,made,,3pt,38,27
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Eddie House,Wilson Chandler,1,5:50,OKC,timeout,,,,,,,,,,,,,,,,regular,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Chris Duhon,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,5:50,NYK,sub,,,,Sergio Rodriguez,,Wilson Chandler,,,,,,,,,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,5:50,NYK,sub,,,,Al Harrington,,Chris Duhon,,,,,,,,,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,5:35,OKC,shot,Kevin Durant,,,,,,,,,Russell Westbrook,2,,,made,,layup,25,6
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,5:22,NYK,shot,Al Harrington,,,,,,,,,Eddie House,2,,,made,,jump,7,8
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,5:05,NYK,foul,,,,,,,,Thabo Sefolosha,,Eddie House,,,,,,shooting,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,5:05,OKC,free throw,,,,,,,1,,2,Thabo Sefolosha,,,foul,made,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,5:05,OKC,free throw,,,,,,,2,,2,Thabo Sefolosha,,,foul,made,,,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:51,NYK,shot,,,,,,,,,,Al Harrington,,,,missed,,3pt,48,3
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:49,NYK,rebound,,,,,,,,,,Sergio Rodriguez,,,,,,off,,
Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Thabo Sefolosha,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:46,OKC,foul,,,,,,,,Danilo Gallinari,,Thabo Sefolosha,,,,,,personal,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:46,OKC,sub,,,,James Harden,,Thabo Sefolosha,,,,,,,,,,,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:39,NYK,turnover,,,,,,,,,,Al Harrington,,,lost ball,,Jeff Green,,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:34,NYK,foul,,,,,,,,Kevin Durant,,Sergio Rodriguez,,,,,,shooting,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:34,OKC,free throw,,,,,,,1,,2,Kevin Durant,,,foul,missed,,,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:34,OKC,rebound,,,,,,,,,,,,,,,,,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:34,OKC,free throw,,,,,,,2,,2,Kevin Durant,,,foul,made,,,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:24,NYK,turnover,,,,,,,,,,Sergio Rodriguez,,,bad pass,,Jeff Green,,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:13,OKC,shot,,,,,,,,,,Russell Westbrook,,,,missed,,driving layup,25,6
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:12,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,off,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:12,OKC,shot,,,,,,,,,,Russell Westbrook,,,,missed,,tip,25,6
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,4:11,NYK,rebound,,,,,,,,,,Danilo Gallinari,,,,,,def,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,3:47,NYK,shot,,,,,,,,,,Sergio Rodriguez,,,,missed,,3pt,32,29
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,3:45,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,3:35,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,40,17
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,3:33,NYK,rebound,,,,,,,,,,Sergio Rodriguez,,,,,,def,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,3:26,NYK,shot,Sergio Rodriguez,,,,,,,,,David Lee,2,,,made,,jump,19,24
James Harden,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,3:12,OKC,turnover,,,,,,,,,,James Harden,,,traveling,,,,,
Eric Maynor,James Harden,Jeff Green,Kevin Durant,Nick Collison,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,3:12,OKC,sub,,,,Eric Maynor,,Russell Westbrook,,,,,,,,,,,,
Eric Maynor,James Harden,Jeff Green,Kevin Durant,Nick Collison,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,2:57,NYK,shot,Eddie House,,,,,,,,,David Lee,2,,,made,,driving layup,25,6
Eric Maynor,James Harden,Jeff Green,Kevin Durant,Nick Collison,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,2:37,NYK,timeout,,,,,,,,,,,,,,,,regular,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Danilo Gallinari,David Lee,Eddie House,Sergio Rodriguez,1,2:37,OKC,sub,,,,Serge Ibaka,,Eric Maynor,,,,,,,,,,,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,David Lee,Eddie House,Sergio Rodriguez,Tracy McGrady,1,2:37,NYK,sub,,,,Tracy McGrady,,Danilo Gallinari,,,,,,,,,,,,
James Harden,Jeff Green,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,2:37,NYK,sub,,,,Wilson Chandler,,David Lee,,,,,,,,,,,,
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,2:37,OKC,sub,,,,Eric Maynor,,Jeff Green,,,,,,,,,,,,
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,2:30,OKC,shot,,,,,,,,,,Eric Maynor,,,,missed,,jump,14,8
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,2:28,NYK,rebound,,,,,,,,,,Al Harrington,,,,,,def,,
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,2:19,NYK,shot,,,Serge Ibaka,,,,,,,Sergio Rodriguez,,,,missed,,layup,25,6
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,2:17,NYK,rebound,,,,,,,,,,Wilson Chandler,,,,,,off,,
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,2:10,NYK,shot,,,James Harden,,,,,,,Eddie House,,,,missed,,3pt,3,24
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,2:09,OKC,rebound,,,,,,,,,,James Harden,,,,,,def,,
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,2:09,OKC,turnover,,,,,,,,,,James Harden,,,step out of bounds turnover,,,,,
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,1:54,NYK,shot,,,,,,,,,,Sergio Rodriguez,,,,missed,,3pt,17,30
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,1:51,OKC,rebound,,,,,,,,,,Nick Collison,,,,,,def,,
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,1:34,OKC,turnover,,,,,,,,,,Eric Maynor,,,bad pass,,,,,
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,1:22,NYK,shot,,,,,,,,,,Tracy McGrady,2,,,made,,jump bank,38,17
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,1:10,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,10,19
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,1:09,NYK,rebound,,,,,,,,,,Tracy McGrady,,,,,,def,,
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,1:04,NYK,shot,Tracy McGrady,,,,,,,,,Al Harrington,2,,,made,,layup,25,6
Eric Maynor,James Harden,Kevin Durant,Nick Collison,Serge Ibaka,Al Harrington,Eddie House,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,1,0:46,NYK,foul,,,,,,,,Kevin Durant,,Wilson Chandler,,,,,,shooting,,
