a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,12:00,OFF,jump ball,,Samuel Dalembert,,,Robin Lopez,,,,,,,Jrue Holiday,,,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:38,PHI,shot,,,,,,,,,,Elton Brand,,,,missed,,turnaround jump,36,11
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:35,PHX,rebound,,,,,,,,,,Robin Lopez,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:26,PHX,shot,Steve Nash,,,,,,,,,Jason Richardson,3,,,made,,3pt,17,30
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:01,PHI,shot,Lou Williams,,,,,,,,,Andre Iguodala,2,,,made,,jump,6,17
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:51,PHX,shot,Steve Nash,,,,,,,,,Robin Lopez,2,,,made,,jump,37,6
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:29,PHI,shot,,,,,,,,,,Samuel Dalembert,2,,,made,,running bank,17,10
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:20,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,jump,16,7
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:18,PHI,rebound,,,,,,,,,,Andre Iguodala,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:10,PHI,shot,,,,,,,,,,Jrue Holiday,,,,missed,,jump,26,11
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:08,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,10:04,PHX,shot,Steve Nash,,,,,,,,,Jason Richardson,3,,,made,,3pt,46,21
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:46,PHI,shot,,,,,,,,,,Lou Williams,,,,missed,,3pt,48,8
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:45,PHI,rebound,,,,,,,,,,,,,,,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:33,PHI,shot,Lou Williams,,,,,,,,,Samuel Dalembert,2,,,made,,jump,32,14
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:15,PHX,shot,Jason Richardson,,,,,,,,,Steve Nash,2,,,made,,jump,20,21
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,9:01,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,27,19
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:59,PHX,rebound,,,,,,,,,,Grant Hill,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:51,PHX,shot,,,,,,,,,,Steve Nash,3,,,made,,3pt,8,24
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:43,PHI,timeout,,,,,,,,,,,,,,,,regular,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:33,PHI,turnover,,,,,,,,,,Jrue Holiday,,,bad pass,,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:13,PHX,shot,,,,,,,,,,Amare Stoudemire,,,,missed,,jump,42,11
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,8:11,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:56,PHX,foul,,,,,,,,Elton Brand,,Amare Stoudemire,,,,,,personal,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:45,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,turnaround jump,12,9
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:42,PHX,rebound,,,,,,,,,,Jason Richardson,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:36,PHX,shot,,,,,,,,,,Steve Nash,2,,,made,,jump,43,9
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:11,PHI,shot,,,,,,,,,,Jrue Holiday,,,,missed,,jump,30,22
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:09,PHX,rebound,,,,,,,,,,Steve Nash,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:03,PHI,foul,,,,,,,,Steve Nash,,Jrue Holiday,,,,,,shooting,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:03,PHX,free throw,,,,,,,1,,2,Steve Nash,,,foul,made,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,7:03,PHX,free throw,,,,,,,2,,2,Steve Nash,,,foul,made,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:48,PHI,shot,,,,,,,,,,Andre Iguodala,2,,,made,,jump,8,15
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:39,PHX,shot,,,,,,,,,,Grant Hill,,,,missed,,3pt,2,6
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:38,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,off,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:36,PHX,shot,,,Samuel Dalembert,,,,,,,Amare Stoudemire,,,,missed,,layup,25,6
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:35,PHX,rebound,,,,,,,,,,,,,,,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,6:28,PHX,shot,,,,,,,,,,Amare Stoudemire,,,,missed,,hook,16,6
