a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,12:00,OFF,jump ball,,Andrew Bogut,,,Josh Smith,,,,,,,Mike Bibby,,,,,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:44,ATL,shot,Mike Bibby,,,,,,,,,Joe Johnson,2,,,made,,jump,6,12
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:23,MIL,turnover,,,,,,,,,,Carlos Delfino,,,bad pass,,Joe Johnson,,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:17,ATL,shot,Mike Bibby,,,,,,,,,Josh Smith,2,,,made,,running layup,26,5
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:56,MIL,shot,Luc Richard Mbah a Moute,,,,,,,,,John Salmons,2,,,made,,jump,39,18
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:35,ATL,shot,Josh Smith,,,,,,,,,Mike Bibby,2,,,made,,jump,34,21
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:10,MIL,shot,,,,,,,,,,Andrew Bogut,,,,missed,,jump,26,14
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:07,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:57,ATL,turnover,,,,,,,,,,Joe Johnson,,,out of bounds lost ball turnover,,,,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:43,MIL,shot,,,,,,,,,,Brandon Jennings,,,,missed,,3pt,11,29
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:42,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:29,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,jump,7,17
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:28,MIL,rebound,,,,,,,,,,Andrew Bogut,,,,,,def,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:25,MIL,turnover,,,,,,,,,,Andrew Bogut,,,bad pass,,Mike Bibby,,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:20,ATL,shot,Mike Bibby,,,,,,,,,Marvin Williams,2,,,made,,jump,5,10
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:07,MIL,shot,,,,,,,,,,John Salmons,,,,missed,,3pt,10,27
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:04,ATL,rebound,,,,,,,,,,Al Horford,,,,,,def,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,8:59,ATL,shot,Al Horford,,,,,,,,,Josh Smith,2,,,made,,running layup,27,7
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,8:51,MIL,turnover,,,,,,,,,,Luc Richard Mbah a Moute,,,lost ball,,Joe Johnson,,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,8:47,ATL,shot,Marvin Williams,,,,,,,,,Al Horford,2,,,made,,dunk,25,6
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,8:21,MIL,shot,John Salmons,,,,,,,,,Carlos Delfino,3,,,made,,3pt,40,29
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:57,ATL,shot,Joe Johnson,,,,,,,,,Josh Smith,2,,,made,,jump,19,9
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:44,MIL,shot,,,,,,,,,,Andrew Bogut,,,,missed,,jump,35,11
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:43,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:36,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,jump,9,17
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:34,MIL,rebound,,,,,,,,,,Andrew Bogut,,,,,,def,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:20,MIL,shot,,,,,,,,,,Luc Richard Mbah a Moute,,,,missed,,a moute jump,23,12
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:19,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:03,ATL,shot,,,,,,,,,,Al Horford,,,,missed,,jump,22,7
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,7:02,MIL,rebound,,,,,,,,,,Andrew Bogut,,,,,,def,,
Andrew Bogut,Brandon Jennings,Carlos Delfino,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:57,MIL,timeout,,,,,,,,,,,,,,,,regular,,
Andrew Bogut,Brandon Jennings,Ersan Ilyasova,John Salmons,Luc Richard Mbah a Moute,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:57,MIL,sub,,,,Ersan Ilyasova,,Carlos Delfino,,,,,,,,,,,,
Andrew Bogut,Ersan Ilyasova,John Salmons,Luc Richard Mbah a Moute,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:57,MIL,sub,,,,Luke Ridnour,,Brandon Jennings,,,,,,,,,,,,
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:57,MIL,sub,,,,Jerry Stackhouse,,Luc Richard Mbah a Moute,,,,,,,,,,,,
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:38,MIL,shot,,,,,,,,,,Ersan Ilyasova,,,,missed,,jump,35,24
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:35,MIL,rebound,,,,,,,,,,Jerry Stackhouse,,,,,,off,,
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:35,MIL,shot,,,,,,,,,,Jerry Stackhouse,2,,,made,,putback layup,25,6
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,6:10,ATL,shot,,,,,,,,,,Al Horford,2,,,made,,driving layup,23,6
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:55,MIL,shot,,,,,,,,,,Jerry Stackhouse,,,,missed,,jump,16,24
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:53,MIL,rebound,,,,,,,,,,John Salmons,,,,,,off,,
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:50,MIL,shot,,,,,,,,,,John Salmons,2,,,made,,driving reverse layup,26,5
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:50,ATL,foul,,,,,,,,John Salmons,,Marvin Williams,,,,,,shooting,,
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:50,MIL,free throw,,,,,,,1,,1,John Salmons,,,foul,made,,,,
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:36,ATL,shot,,,Andrew Bogut,,,,,,,Joe Johnson,,,,missed,,driving layup,22,5
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:33,MIL,rebound,,,,,,,,,,Andrew Bogut,,,,,,def,,
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:24,MIL,shot,John Salmons,,,,,,,,,Luke Ridnour,2,,,made,,jump,35,23
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:04,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,driving jump,21,7
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:03,MIL,rebound,,,,,,,,,,Ersan Ilyasova,,,,,,def,,
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,5:01,MIL,turnover,,,,,,,,,,Ersan Ilyasova,,,bad pass,,,,,
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Zaza Pachulia,1,5:01,ATL,sub,,,,Zaza Pachulia,,Al Horford,,,,,,,,,,,,
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Zaza Pachulia,1,4:42,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,jump,24,15
Andrew Bogut,Ersan Ilyasova,Jerry Stackhouse,John Salmons,Luke Ridnour,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Zaza Pachulia,1,4:41,MIL,rebound,,,,,,,,,,John Salmons,,,,,,def,,
