a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
DeJuan Blair,George Hill,Keith Bogans,Tim Duncan,Tony Parker,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,12:00,OFF,jump ball,,Tim Duncan,,,Emeka Okafor,,,,,,,Tony Parker,,,,,,
DeJuan Blair,George Hill,Keith Bogans,Tim Duncan,Tony Parker,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:44,SAS,shot,Tony Parker,,,,,,,,,Tim Duncan,2,,,made,,jump,42,6
DeJuan Blair,George Hill,Keith Bogans,Tim Duncan,Tony Parker,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:28,NOH,shot,Darren Collison,,,,,,,,,David West,2,,,made,,fade away jumper,32,18
DeJuan Blair,George Hill,Keith Bogans,Tim Duncan,Tony Parker,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,11:06,SAS,shot,,,,,,,,,,George Hill,2,,,made,,jump,31,27
DeJuan Blair,George Hill,Keith Bogans,Tim Duncan,Tony Parker,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,10:39,NOH,shot,David West,,,,,,,,,Peja Stojakovic,3,,,made,,3pt,30,32
DeJuan Blair,George Hill,Keith Bogans,Tim Duncan,Tony Parker,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,10:27,SAS,shot,,,,,,,,,,Tony Parker,2,,,made,,jump,39,18
DeJuan Blair,George Hill,Keith Bogans,Tim Duncan,Tony Parker,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,10:16,NOH,shot,Darren Collison,,,,,,,,,Emeka Okafor,2,,,made,,alley oop dunk,25,6
DeJuan Blair,George Hill,Keith Bogans,Tim Duncan,Tony Parker,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:56,NOH,foul,,,,,,,,Tony Parker,,Darren Collison,,,,,,personal,,
DeJuan Blair,George Hill,Keith Bogans,Tim Duncan,Tony Parker,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:43,SAS,turnover,,,,,,,,,,DeJuan Blair,,,3 second violation,,,,,
DeJuan Blair,George Hill,Keith Bogans,Tim Duncan,Tony Parker,Darren Collison,David West,Emeka Okafor,Morris Peterson,Peja Stojakovic,1,9:36,SAS,foul,,,,,,,,Peja Stojakovic,,Keith Bogans,,,,,,personal,,
