a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Joey Graham,Nene Hilario,1,12:00,OFF,jump ball,,Roy Hibbert,,,Nene Hilario,,,,,,,Joey Graham,,,,,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Joey Graham,Nene Hilario,1,11:46,DEN,shot,Chauncey Billups,,,,,,,,,Nene Hilario,2,,,made,,jump,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Joey Graham,Nene Hilario,1,11:32,DEN,foul,,,,,,,,Roy Hibbert,,Nene Hilario,,,,,,shooting,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Joey Graham,Nene Hilario,1,11:32,IND,free throw,,,,,,,1,,2,Roy Hibbert,,,foul,made,,,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Joey Graham,Nene Hilario,1,11:32,IND,free throw,,,,,,,2,,2,Roy Hibbert,,,foul,made,,,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Joey Graham,Nene Hilario,1,11:19,DEN,shot,,,,,,,,,,Arron Afflalo,,,,missed,,driving layup,25,6
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Joey Graham,Nene Hilario,1,11:17,IND,rebound,,,,,,,,,,Brandon Rush,,,,,,def,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Joey Graham,Nene Hilario,1,11:11,IND,shot,T.J. Ford,,,,,,,,,Danny Granger,2,,,made,,driving layup,25,6
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Joey Graham,Nene Hilario,1,10:56,DEN,shot,,,,,,,,,,Nene Hilario,2,,,made,,driving layup,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Joey Graham,Nene Hilario,1,10:56,IND,foul,,,,,,,,Nene Hilario,,Roy Hibbert,,,,,,shooting,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Joey Graham,Nene Hilario,1,10:56,DEN,free throw,,,,,,,1,,1,Nene Hilario,,,foul,made,,,,
