a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,Antonio McDyess,George Hill,Keith Bogans,Manu Ginobili,Tim Duncan,1,12:00,OFF,jump ball,,David Lee,,,Tim Duncan,,,,,,,Antonio McDyess,,,,,,
Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,Antonio McDyess,George Hill,Keith Bogans,Manu Ginobili,Tim Duncan,1,11:46,SAS,shot,Antonio McDyess,,,,,,,,,Tim Duncan,2,,,made,,jump,37,6
Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,Antonio McDyess,George Hill,Keith Bogans,Manu Ginobili,Tim Duncan,1,11:31,NYK,shot,,,,,,,,,,David Lee,,,,missed,,jump,13,21
Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,Antonio McDyess,George Hill,Keith Bogans,Manu Ginobili,Tim Duncan,1,11:30,SAS,rebound,,,,,,,,,,Antonio McDyess,,,,,,def,,
Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,Antonio McDyess,George Hill,Keith Bogans,Manu Ginobili,Tim Duncan,1,11:14,SAS,shot,Tim Duncan,,,,,,,,,Manu Ginobili,3,,,made,,3pt,14,28
Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,Antonio McDyess,George Hill,Keith Bogans,Manu Ginobili,Tim Duncan,1,10:51,NYK,shot,,,,,,,,,,Wilson Chandler,,,,missed,,jump,45,8
Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,Antonio McDyess,George Hill,Keith Bogans,Manu Ginobili,Tim Duncan,1,10:50,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,Antonio McDyess,George Hill,Keith Bogans,Manu Ginobili,Tim Duncan,1,10:30,SAS,shot,,,,,,,,,,Tim Duncan,2,,,made,,turnaround fade away,20,13
Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,Antonio McDyess,George Hill,Keith Bogans,Manu Ginobili,Tim Duncan,1,10:19,NYK,shot,Tracy McGrady,,,,,,,,,David Lee,2,,,made,,jump,15,22
Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,Antonio McDyess,George Hill,Keith Bogans,Manu Ginobili,Tim Duncan,1,10:04,SAS,shot,Manu Ginobili,,,,,,,,,Tim Duncan,2,,,made,,jump,29,7
Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,Antonio McDyess,George Hill,Keith Bogans,Manu Ginobili,Tim Duncan,1,9:50,NYK,shot,,,,,,,,,,Tracy McGrady,,,,missed,,pullup jump,39,20
Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,Antonio McDyess,George Hill,Keith Bogans,Manu Ginobili,Tim Duncan,1,9:49,SAS,rebound,,,,,,,,,,Antonio McDyess,,,,,,def,,
Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Wilson Chandler,Antonio McDyess,George Hill,Keith Bogans,Manu Ginobili,Tim Duncan,1,9:37,SAS,shot,Tim Duncan,,,,,,,,,Manu Ginobili,2,,,made,,layup,26,5
