a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,12:00,OFF,jump ball,,Chris Bosh,,,Spencer Hawes,,,,,,,Jarrett Jack,,,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,11:44,TOR,shot,,,,,,,,,,Hedo Turkoglu,,,,missed,,3pt,45,22
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,11:42,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,11:41,TOR,shot,,,,,,,,,,Andrea Bargnani,2,,,made,,reverse layup,25,6
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,11:28,SAC,turnover,,,,,,,,,,Spencer Hawes,,,bad pass,,Jarrett Jack,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,11:09,TOR,shot,,,,,,,,,,DeMar DeRozan,,,,missed,,jump,5,17
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,11:08,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,11:07,SAC,foul,,,,,,,,Andrea Bargnani,,Spencer Hawes,,,,,,shooting,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,11:07,TOR,free throw,,,,,,,1,,2,Andrea Bargnani,,,foul,made,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,11:07,TOR,free throw,,,,,,,2,,2,Andrea Bargnani,,,foul,missed,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,11:06,SAC,rebound,,,,,,,,,,Spencer Hawes,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,10:50,SAC,shot,,,,,,,,,,Carl Landry,,,,missed,,hook,20,9
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,10:49,SAC,rebound,,,,,,,,,,Donte Greene,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,10:49,SAC,shot,,,,,,,,,,Donte Greene,,,,missed,,tip,25,6
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,10:47,SAC,rebound,,,,,,,,,,Carl Landry,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,10:47,SAC,shot,,,,,,,,,,Carl Landry,,,,missed,,tip,25,6
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,10:46,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,10:36,TOR,shot,,,,,,,,,,Chris Bosh,2,,,made,,jump,40,11
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,10:12,SAC,shot,Tyreke Evans,,,,,,,,,Spencer Hawes,2,,,made,,hook,23,8
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,10:01,TOR,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,jump,32,18
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,9:42,SAC,shot,,,,,,,,,,Donte Greene,2,,,made,,finger roll layup,27,6
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,9:27,TOR,shot,Hedo Turkoglu,,,,,,,,,Jarrett Jack,3,,,made,,3pt,7,24
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,9:06,SAC,shot,,,,,,,,,,Beno Udrih,2,,,made,,pullup jump,32,18
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,8:52,TOR,shot,,,,,,,,,,Hedo Turkoglu,2,,,made,,driving layup,25,6
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,8:26,SAC,shot,,,,,,,,,,Tyreke Evans,2,,,made,,driving layup,25,9
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,8:26,TOR,foul,,,,,,,,Tyreke Evans,,Hedo Turkoglu,,,,,,shooting,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,8:26,SAC,free throw,,,,,,,1,,1,Tyreke Evans,,,foul,made,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,8:16,TOR,shot,Hedo Turkoglu,,,,,,,,,DeMar DeRozan,2,,,made,,jump bank,20,7
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,7:49,SAC,shot,,,,,,,,,,Carl Landry,,,,missed,,jump,37,9
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,7:48,TOR,rebound,,,,,,,,,,Hedo Turkoglu,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,7:35,TOR,shot,,,,,,,,,,Andrea Bargnani,2,,,made,,driving reverse layup,25,6
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,7:24,SAC,foul,,,,,,,,DeMar DeRozan,,Beno Udrih,,,,,,offensive,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,7:24,SAC,turnover,,,,,,,,,,Beno Udrih,,,foul,,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,7:11,TOR,shot,,,,,,,,,,Andrea Bargnani,,,,missed,,jump,25,17
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,7:09,SAC,rebound,,,,,,,,,,Tyreke Evans,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,7:00,SAC,shot,,,,,,,,,,Tyreke Evans,,,,missed,,jump,26,11
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,6:58,SAC,rebound,,,,,,,,,,Tyreke Evans,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,6:47,SAC,shot,,,,,,,,,,Donte Greene,,,,missed,,jump,23,12
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,6:46,SAC,rebound,,,,,,,,,,Spencer Hawes,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,6:46,SAC,shot,,,,,,,,,,Spencer Hawes,,,,missed,,tip,25,6
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,6:45,SAC,rebound,,,,,,,,,,Donte Greene,,,,,,off,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,6:44,SAC,shot,,,,,,,,,,Donte Greene,2,,,made,,layup,25,6
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,6:26,TOR,shot,Chris Bosh,,,,,,,,,Hedo Turkoglu,2,,,made,,layup,25,6
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,5:58,SAC,shot,Spencer Hawes,,,,,,,,,Beno Udrih,3,,,made,,3pt,2,7
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Beno Udrih,Carl Landry,Donte Greene,Spencer Hawes,Tyreke Evans,1,5:42,TOR,shot,,,,,,,,,,Chris Bosh,,,,missed,,turnaround jump,35,10
