a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,12:00,OFF,jump ball,,Theo Ratliff,,,Roy Hibbert,,,,,,,Brandon Rush,,,,,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:40,IND,shot,,,,,,,,,,Roy Hibbert,2,,,made,,driving layup,24,6
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:23,CHA,shot,,,,,,,,,,Theo Ratliff,,,,missed,,jump,23,11
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:22,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:07,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,jump,29,12
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:06,CHA,rebound,,,,,,,,,,Stephen Graham,,,,,,def,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:53,CHA,shot,,,,,,,,,,Stephen Jackson,,,,missed,,layup,25,6
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:52,CHA,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:39,CHA,turnover,,,,,,,,,,Theo Ratliff,,,lost ball,,Roy Hibbert,,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:36,IND,turnover,,,,,,,,,,Danny Granger,,,lost ball,,Theo Ratliff,,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:31,CHA,shot,Raymond Felton,,,,,,,,,Stephen Jackson,3,,,made,,3pt,44,23
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:19,IND,shot,Roy Hibbert,,,,,,,,,Earl Watson,2,,,made,,reverse layup,26,6
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:04,CHA,shot,Boris Diaw,,,,,,,,,Theo Ratliff,2,,,made,,jump,19,18
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:51,IND,shot,,,,,,,,,,Troy Murphy,,,,missed,,jump,8,7
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:50,CHA,rebound,,,,,,,,,,Stephen Graham,,,,,,def,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:43,IND,foul,,,,,,,,Boris Diaw,,Troy Murphy,,,,,,personal,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:32,IND,foul,,,,,,,,Theo Ratliff,,Roy Hibbert,,,,,,shooting,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:32,CHA,free throw,,,,,,,1,,2,Theo Ratliff,,,foul,made,,,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:32,CHA,free throw,,,,,,,2,,2,Theo Ratliff,,,foul,made,,,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:17,IND,shot,,,Theo Ratliff,,,,,,,Danny Granger,,,,missed,,jump,29,9
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:16,CHA,rebound,,,,,,,,,,Stephen Graham,,,,,,def,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:12,CHA,shot,,,,,,,,,,Stephen Graham,2,,,made,,slam dunk,25,7
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:52,IND,shot,Roy Hibbert,,,,,,,,,Troy Murphy,2,,,made,,slam dunk,25,6
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:28,CHA,shot,Stephen Jackson,,,,,,,,,Boris Diaw,2,,,made,,jump,43,5
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:13,IND,shot,,,Theo Ratliff,,,,,,,Danny Granger,,,,missed,,layup,24,6
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:11,CHA,rebound,,,,,,,,,,Stephen Graham,,,,,,def,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:05,CHA,shot,Stephen Jackson,,,,,,,,,Boris Diaw,2,,,made,,layup,25,6
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:52,IND,shot,,,,,,,,,,Brandon Rush,,,,missed,,layup,27,8
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:51,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,off,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:44,CHA,foul,,,,,,,,Roy Hibbert,,Theo Ratliff,,,,,,personal,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:33,IND,shot,,,Theo Ratliff,,,,,,,Danny Granger,,,,missed,,layup,26,6
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:31,CHA,rebound,,,,,,,,,,Raymond Felton,,,,,,def,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:26,CHA,shot,Stephen Jackson,,,,,,,,,Stephen Graham,2,,,made,,layup,24,5
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:06,IND,shot,Earl Watson,,,,,,,,,Roy Hibbert,2,,,made,,layup,25,5
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:45,CHA,shot,,,,,,,,,,Theo Ratliff,,,,missed,,jump,17,21
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:44,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:40,IND,shot,,,,,,,,,,Danny Granger,2,,,made,,driving bank,25,12
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Theo Ratliff,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:40,CHA,foul,,,,,,,,Danny Granger,,Theo Ratliff,,,,,,shooting,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Tyson Chandler,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:40,CHA,sub,,,,Tyson Chandler,,Theo Ratliff,,,,,,,,,,,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Tyson Chandler,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:40,IND,free throw,,,,,,,1,,1,Danny Granger,,,foul,made,,,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Tyson Chandler,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:18,CHA,shot,,,,,,,,,,Stephen Jackson,2,,,made,,pullup jump,8,10
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Tyson Chandler,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:04,IND,shot,,,,,,,,,,Brandon Rush,,,,missed,,jump,11,6
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Tyson Chandler,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:04,CHA,rebound,,,,,,,,,,Tyson Chandler,,,,,,def,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Tyson Chandler,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,5:45,CHA,shot,,,,,,,,,,Tyson Chandler,,,,missed,,jump,14,12
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Tyson Chandler,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,5:44,IND,rebound,,,,,,,,,,Danny Granger,,,,,,def,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Tyson Chandler,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,5:37,CHA,foul,,,,,,,,Troy Murphy,,Stephen Graham,,,,,,shooting,,
Boris Diaw,Raymond Felton,Stephen Graham,Stephen Jackson,Tyson Chandler,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,5:37,IND,timeout,,,,,,,,,,,,,,,,regular,,
