a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,12:00,OFF,jump ball,,Jeff Green,,,Roy Hibbert,,,,,,,Troy Murphy,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:42,OKC,foul,,,,,,,,Roy Hibbert,,Thabo Sefolosha,,,,,,shooting,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:42,IND,free throw,,,,,,,1,,2,Roy Hibbert,,,foul,missed,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:42,IND,rebound,,,,,,,,,,,,,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:42,IND,free throw,,,,,,,2,,2,Roy Hibbert,,,foul,made,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:22,OKC,turnover,,,,,,,,,,Russell Westbrook,,,traveling,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:01,OKC,foul,,,,,,,,Earl Watson,,Russell Westbrook,,,,,,shooting,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:01,IND,free throw,,,,,,,1,,3,Earl Watson,,,foul,made,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:01,IND,free throw,,,,,,,2,,3,Earl Watson,,,foul,made,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:01,IND,free throw,,,,,,,3,,3,Earl Watson,,,foul,made,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:51,OKC,shot,,,,,,,,,,Nenad Krstic,,,,missed,,jump,12,18
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:50,IND,rebound,,,,,,,,,,Earl Watson,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:31,IND,shot,,,Nenad Krstic,,,,,,,Danny Granger,,,,missed,,reverse layup,24,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:30,IND,rebound,,,,,,,,,,Danny Granger,,,,,,off,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:29,IND,shot,,,,,,,,,,Danny Granger,2,,,made,,layup,25,9
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:16,OKC,shot,Russell Westbrook,,,,,,,,,Kevin Durant,2,,,made,,jump,18,24
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:58,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,jump hook,14,8
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:56,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:42,OKC,turnover,,,,,,,,,,Kevin Durant,,,out of bounds lost ball turnover,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:26,IND,shot,,,,,,,,,,Brandon Rush,,,,missed,,3pt,19,31
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:24,IND,rebound,,,,,,,,,,Earl Watson,,,,,,off,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:18,IND,shot,Earl Watson,,,,,,,,,Troy Murphy,2,,,made,,dunk,27,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:06,OKC,shot,Russell Westbrook,,,,,,,,,Nenad Krstic,2,,,made,,jump,24,27
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:54,IND,shot,,,,,,,,,,Roy Hibbert,2,,,made,,layup,22,5
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:35,OKC,shot,,,,,,,,,,Jeff Green,2,,,made,,jump,38,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:23,OKC,foul,,,,,,,,Roy Hibbert,,Thabo Sefolosha,,,,,,personal,,
Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,Russell Westbrook,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:23,OKC,sub,,,,Kyle Weaver,,Thabo Sefolosha,,,,,,,,,,,,
Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,Russell Westbrook,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:17,IND,shot,Roy Hibbert,,,,,,,,,Danny Granger,2,,,made,,layup,24,6
