a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,12:00,OFF,jump ball,,Spencer Hawes,,,Drew Gooden,,,,,,,Drew Gooden,,,,,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:35,LAC,shot,Drew Gooden,,,,,,,,,Rasual Butler,2,,,made,,reverse layup,25,6
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:22,SAC,shot,,,,,,,,,,Spencer Hawes,2,,,made,,layup,25,6
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:22,LAC,foul,,,,,,,,Spencer Hawes,,Rasual Butler,,,,,,shooting,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:22,SAC,free throw,,,,,,,1,,1,Spencer Hawes,,,foul,made,,,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:01,LAC,shot,,,,,,,,,,Drew Gooden,,,,missed,,layup,25,6
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:59,LAC,rebound,,,,,,,,,,Baron Davis,,,,,,off,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:57,LAC,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:42,SAC,shot,,,,,,,,,,Carl Landry,,,,missed,,jump,39,7
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:41,LAC,rebound,,,,,,,,,,Rasual Butler,,,,,,def,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:36,SAC,foul,,,,,,,,Eric Gordon,,Beno Udrih,,,,,,shooting,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:36,LAC,free throw,,,,,,,1,,2,Eric Gordon,,,foul,made,,,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:36,LAC,free throw,,,,,,,2,,2,Eric Gordon,,,foul,made,,,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:22,SAC,shot,Donte Greene,,,,,,,,,Carl Landry,2,,,made,,hook,30,10
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:04,LAC,shot,,,,,,,,,,Rasual Butler,2,,,made,,jump,31,23
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:52,SAC,shot,,,,,,,,,,Beno Udrih,2,,,made,,jump,30,22
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:42,LAC,shot,,,,,,,,,,Baron Davis,2,,,made,,fade away jumper,34,10
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:36,SAC,shot,,,,,,,,,,Beno Udrih,2,,,made,,layup,25,6
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:25,LAC,shot,,,,,,,,,,Baron Davis,,,,missed,,layup,25,6
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:23,SAC,rebound,,,,,,,,,,Spencer Hawes,,,,,,def,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:20,LAC,foul,,,,,,,,Beno Udrih,,Baron Davis,,,,,,shooting,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:20,SAC,free throw,,,,,,,1,,2,Beno Udrih,,,foul,made,,,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:20,SAC,free throw,,,,,,,2,,2,Beno Udrih,,,foul,made,,,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:09,LAC,shot,,,,,,,,,,Eric Gordon,,,,missed,,3pt,2,8
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:08,SAC,rebound,,,,,,,,,,Beno Udrih,,,,,,def,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:01,SAC,shot,,,,,,,,,,Spencer Hawes,,,,missed,,hook,29,12
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:59,LAC,rebound,,,,,,,,,,Drew Gooden,,,,,,def,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:48,LAC,shot,,,,,,,,,,Drew Gooden,,,,missed,,jump,15,9
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:46,SAC,rebound,,,,,,,,,,Francisco Garcia,,,,,,def,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:32,SAC,shot,,,,,,,,,,Carl Landry,,,,missed,,jump,40,7
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:32,SAC,rebound,,,,,,,,,,Spencer Hawes,,,,,,off,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:31,SAC,shot,,,,,,,,,,Spencer Hawes,,,,missed,,tip,25,6
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:31,SAC,rebound,,,,,,,,,,Spencer Hawes,,,,,,off,,
Beno Udrih,Carl Landry,Donte Greene,Francisco Garcia,Spencer Hawes,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:29,LAC,foul,,,,,,,,Spencer Hawes,,Chris Kaman,,,,,,shooting,,
