a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,12:00,OFF,jump ball,,Robin Lopez,,,Chris Hunter,,,,,,,Grant Hill,,,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:44,PHX,shot,Steve Nash,,,,,,,,,Jason Richardson,2,,,made,,driving slam dunk,24,7
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:26,GSW,shot,Anthony Tolliver,,,,,,,,,Corey Maggette,2,,,made,,fade away jumper,9,9
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:06,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,layup,24,7
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:04,PHX,rebound,,,,,,,,,,Robin Lopez,,,,,,off,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:02,PHX,turnover,,,,,,,,,,Robin Lopez,,,poss lost ball turnover,,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:45,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,3pt,7,24
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:44,PHX,rebound,,,,,,,,,,Grant Hill,,,,,,def,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:28,PHX,shot,Grant Hill,,,,,,,,,Robin Lopez,2,,,made,,layup,25,7
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:19,GSW,turnover,,,,,,,,,,Chris Hunter,,,poss lost ball turnover,,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:13,GSW,violation,,,,,,,,,,Chris Hunter,,,,,,defensive goaltending,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:13,PHX,shot,Steve Nash,,,,,,,,,Grant Hill,2,,,made,,layup,24,7
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:59,GSW,shot,Anthony Tolliver,,,,,,,,,Chris Hunter,2,,,made,,slam dunk,25,6
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:46,PHX,turnover,,,,,,,,,,Robin Lopez,,,poss lost ball turnover,,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:38,GSW,shot,Stephen Curry,,,,,,,,,Chris Hunter,2,,,made,,jump,27,23
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:21,GSW,foul,,,,,,,,Amare Stoudemire,,Corey Maggette,,,,,,personal,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:09,PHX,turnover,,,,,,,,,,Steve Nash,,,poss lost ball turnover,,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:02,GSW,shot,Corey Maggette,,,,,,,,,Stephen Curry,3,,,made,,3pt,26,30
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:51,PHX,turnover,,,,,,,,,,Steve Nash,,,lost ball,,Stephen Curry,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:46,GSW,shot,Stephen Curry,,,,,,,,,Corey Maggette,2,,,made,,slam dunk,25,6
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:38,PHX,shot,Grant Hill,,,,,,,,,Jason Richardson,3,,,made,,3pt,2,6
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:23,GSW,shot,,,,,,,,,,Anthony Tolliver,,,,missed,,3pt,9,26
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:22,PHX,rebound,,,,,,,,,,Steve Nash,,,,,,def,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:15,GSW,foul,,,,,,,,Amare Stoudemire,,Chris Hunter,,,,,,shooting,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:15,PHX,free throw,,,,,,,1,,2,Amare Stoudemire,,,foul,made,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:15,PHX,free throw,,,,,,,2,,2,Amare Stoudemire,,,foul,made,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:02,GSW,shot,,,,,,,,,,Corey Maggette,,,,missed,,jump,39,21
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,8:01,PHX,rebound,,,,,,,,,,Steve Nash,,,,,,def,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,7:59,GSW,foul,,,,,,,,Amare Stoudemire,,Anthony Tolliver,,,,,,loose ball,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,7:45,GSW,foul,,,,,,,,Amare Stoudemire,,Chris Hunter,,,,,,shooting,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,7:45,PHX,free throw,,,,,,,1,,2,Amare Stoudemire,,,foul,missed,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,7:45,PHX,rebound,,,,,,,,,,,,,,,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,7:45,PHX,free throw,,,,,,,2,,2,Amare Stoudemire,,,foul,made,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,7:35,GSW,shot,Monta Ellis,,,,,,,,,Chris Hunter,2,,,made,,jump hook,24,8
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,7:35,PHX,turnover,,,,,,,,,,Amare Stoudemire,,,bad pass,,Stephen Curry,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,7:21,PHX,foul,,,,,,,,Stephen Curry,,Amare Stoudemire,,,,,,loose ball,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,7:06,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,layup,24,6
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,7:05,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,7:00,GSW,foul,,,,,,,,Grant Hill,,Corey Maggette,,,,,,shooting,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,7:00,PHX,free throw,,,,,,,1,,2,Grant Hill,,,foul,made,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,7:00,PHX,free throw,,,,,,,2,,2,Grant Hill,,,foul,made,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,6:52,PHX,violation,,,,,,,,,,Grant Hill,,,,,,kicked ball,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,6:43,GSW,shot,,,,,,,,,,Chris Hunter,2,,,made,,slam dunk,25,6
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,6:43,PHX,foul,,,,,,,,Chris Hunter,,Robin Lopez,,,,,,shooting,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,6:43,GSW,free throw,,,,,,,1,,1,Chris Hunter,,,foul,made,,,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,6:33,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,jump,24,21
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,6:31,GSW,rebound,,,,,,,,,,Corey Maggette,,,,,,def,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,6:24,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,jump,39,12
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,6:23,PHX,rebound,,,,,,,,,,Robin Lopez,,,,,,def,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,6:13,PHX,shot,Jason Richardson,,,,,,,,,Robin Lopez,2,,,made,,jump,34,23
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,6:01,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,jump,39,19
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,6:00,PHX,rebound,,,,,,,,,,Grant Hill,,,,,,def,,
Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,5:58,PHX,shot,Steve Nash,,,,,,,,,Jason Richardson,2,,,made,,slam dunk,27,6
