a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,12:00,OFF,jump ball,,Andray Blatche,,,Theo Ratliff,,,,,,,Stephen Jackson,,,,,,
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:42,CHA,turnover,,,,,,,,,,Raymond Felton,,,bad pass,,Andray Blatche,,,
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:36,WAS,turnover,,,,,,,,,,Andray Blatche,,,bad pass,,Raymond Felton,,,
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:31,CHA,shot,Raymond Felton,,,,,,,,,Stephen Jackson,2,,,made,,layup,25,6
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,11:13,WAS,shot,Alonzo Gee,,,,,,,,,Andray Blatche,2,,,made,,jump,37,11
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:52,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,jump,35,23
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:51,WAS,rebound,,,,,,,,,,Mike Miller,,,,,,def,,
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:42,WAS,shot,,,,,,,,,,Shaun Livingston,,,,missed,,jump,29,15
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:40,CHA,rebound,,,,,,,,,,Theo Ratliff,,,,,,def,,
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:33,CHA,shot,,,,,,,,,,Stephen Jackson,2,,,made,,driving layup,25,6
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:08,WAS,shot,,,,,,,,,,Alonzo Gee,,,,missed,,layup,25,6
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:07,CHA,rebound,,,,,,,,,,Gerald Wallace,,,,,,def,,
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,10:03,WAS,foul,,,,,,,,Gerald Wallace,,James Singleton,,,,,,personal,,
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:47,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,hook,26,11
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:46,WAS,rebound,,,,,,,,,,Andray Blatche,,,,,,def,,
Alonzo Gee,Andray Blatche,James Singleton,Mike Miller,Shaun Livingston,Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Theo Ratliff,1,9:36,WAS,shot,,,,,,,,,,James Singleton,,,,missed,,jump,29,24
