a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,12:00,OFF,jump ball,,Jeff Green,,,Samuel Dalembert,,,,,,,Andre Iguodala,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,11:51,PHI,shot,,,Russell Westbrook,,,,,,,Elton Brand,,,,missed,,jump,26,16
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,11:49,PHI,rebound,,,,,,,,,,Elton Brand,,,,,,off,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,11:46,PHI,shot,,,,,,,,,,Elton Brand,,,,missed,,jump,32,11
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,11:45,OKC,rebound,,,,,,,,,,Nenad Krstic,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,11:20,PHI,foul,,,,,,,,Kevin Durant,,Samuel Dalembert,,,,,,shooting,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,11:20,OKC,free throw,,,,,,,1,,2,Kevin Durant,,,foul,made,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,11:20,OKC,free throw,,,,,,,2,,2,Kevin Durant,,,foul,missed,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,11:19,PHI,rebound,,,,,,,,,,Elton Brand,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,11:06,PHI,turnover,,,,,,,,,,Elton Brand,,,bad pass,,Russell Westbrook,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,11:05,PHI,foul,,,,,,,,Russell Westbrook,,Jrue Holiday,,,,,,personal,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,11:00,OKC,shot,,,,,,,,,,Jeff Green,,,,missed,,jump,22,23
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,10:59,PHI,rebound,,,,,,,,,,Jason Kapono,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Samuel Dalembert,1,10:46,OKC,foul,,,,,,,,Samuel Dalembert,,Nenad Krstic,,,,,,personal,,
