a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,12:00,OFF,jump ball,,Luis Scola,,,Roy Hibbert,,,,,,,Houston,,,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:52,IND,foul,,,,,,,,Trevor Ariza,,Brandon Rush,,,,,,personal,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:39,HOU,shot,Kevin Martin,,,,,,,,,Trevor Ariza,3,,,made,,3pt,14,29
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:15,HOU,foul,,,,,,,,Earl Watson,,Aaron Brooks,,,,,,shooting,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:15,IND,free throw,,,,,,,1,,2,Earl Watson,,,foul,missed,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:15,IND,rebound,,,,,,,,,,,,,,,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:15,IND,free throw,,,,,,,2,,2,Earl Watson,,,foul,made,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,11:03,HOU,turnover,,,,,,,,,,Aaron Brooks,,,bad pass,,Brandon Rush,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:52,IND,shot,,,Chuck Hayes,,,,,,,Roy Hibbert,,,,missed,,jump,26,11
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:50,HOU,rebound,,,,,,,,,,Aaron Brooks,,,,,,def,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:41,HOU,shot,,,,,,,,,,Chuck Hayes,,,,missed,,layup,25,7
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:39,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:23,IND,turnover,,,,,,,,,,Troy Murphy,,,lost ball,,Trevor Ariza,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:21,IND,foul,,,,,,,,Trevor Ariza,,Danny Granger,,,,,,shooting,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:21,HOU,free throw,,,,,,,1,,2,Trevor Ariza,,,foul,missed,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:21,HOU,rebound,,,,,,,,,,,,,,,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:21,HOU,free throw,,,,,,,2,,2,Trevor Ariza,,,foul,missed,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:20,IND,rebound,,,,,,,,,,Brandon Rush,,,,,,def,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,10:07,IND,turnover,,,,,,,,,,Danny Granger,,,3 second violation,,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:56,IND,violation,,,,,,,,,,Troy Murphy,,,,,,kicked ball,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:48,HOU,shot,,,,,,,,,,Trevor Ariza,,,,missed,,jump,8,5
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:47,IND,rebound,,,,,,,,,,Brandon Rush,,,,,,def,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:41,IND,shot,Earl Watson,,,,,,,,,Troy Murphy,3,,,made,,3pt,30,32
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:21,HOU,shot,Aaron Brooks,,,,,,,,,Trevor Ariza,3,,,made,,3pt,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,9:12,IND,turnover,,,,,,,,,,Earl Watson,,,bad pass,,Chuck Hayes,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:54,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,jump,28,8
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:52,IND,rebound,,,,,,,,,,Danny Granger,,,,,,def,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:47,IND,shot,,,,,,,,,,Earl Watson,2,,,made,,driving finger roll layup,25,7
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:39,HOU,shot,Aaron Brooks,,,,,,,,,Kevin Martin,3,,,made,,3pt,8,25
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:28,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,jump,27,22
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:26,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,off,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:26,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,tip,25,6
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:24,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,off,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:24,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,layup,25,6
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:16,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:16,HOU,turnover,,,,,,,,,,Aaron Brooks,,,bad pass,,Brandon Rush,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:12,HOU,foul,,,,,,,,Danny Granger,,Luis Scola,,,,,,shooting,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:12,IND,free throw,,,,,,,1,,2,Danny Granger,,,foul,made,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,8:12,IND,free throw,,,,,,,2,,2,Danny Granger,,,foul,made,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:58,HOU,shot,,,,,,,,,,Luis Scola,2,,,made,,jump hook,27,11
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:47,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,3pt,48,19
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:46,HOU,rebound,,,,,,,,,,Aaron Brooks,,,,,,def,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:43,IND,foul,,,,,,,,Trevor Ariza,,Roy Hibbert,,,,,,shooting,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:43,HOU,free throw,,,,,,,1,,2,Trevor Ariza,,,foul,made,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:43,HOU,free throw,,,,,,,2,,2,Trevor Ariza,,,foul,missed,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:42,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:28,IND,shot,,,,,,,,,,Earl Watson,2,,,made,,jump,28,11
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,7:05,IND,foul,,,,,,,,Kevin Martin,,Brandon Rush,,,,,,personal,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:55,HOU,shot,,,,,,,,,,Kevin Martin,,,,missed,,3pt,37,30
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:54,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,off,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:52,HOU,shot,,,,,,,,,,Chuck Hayes,2,,,made,,layup,27,6
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:42,IND,shot,,,Trevor Ariza,,,,,,,Danny Granger,,,,missed,,layup,24,6
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:41,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,off,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:41,IND,shot,,,,,,,,,,Roy Hibbert,2,,,made,,layup,24,6
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert,Troy Murphy,1,6:41,HOU,foul,,,,,,,,Roy Hibbert,,Chuck Hayes,,,,,,shooting,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Danny Granger,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,6:41,IND,sub,,,,Mike Dunleavy,,Brandon Rush,,,,,,,,,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Danny Granger,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,6:41,IND,free throw,,,,,,,1,,1,Roy Hibbert,,,foul,made,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Danny Granger,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,6:27,HOU,shot,,,,,,,,,,Trevor Ariza,,,,missed,,jump,43,5
