a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,12:00,OFF,jump ball,,Kendrick Perkins,,,Andrea Bargnani,,,,,,,Kevin Garnett,,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,11:36,BOS,shot,,,,,,,,,,Kendrick Perkins,2,,,made,,turnaround hook,17,7
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,11:15,BOS,foul,,,,,,,,Andrea Bargnani,,Rajon Rondo,,,,,,personal,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,11:07,TOR,shot,,,,,,,,,,Reggie Evans,2,,,made,,layup,26,7
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,10:55,BOS,shot,Rajon Rondo,,,,,,,,,Kevin Garnett,2,,,made,,jump bank,29,7
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,10:38,TOR,shot,,,,,,,,,,Andrea Bargnani,,,,missed,,3pt,11,26
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,10:37,BOS,rebound,,,,,,,,,,Ray Allen,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,10:30,BOS,turnover,,,,,,,,,,Rajon Rondo,,,bad pass,,Sonny Weems,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,10:27,TOR,shot,Sonny Weems,,,,,,,,,Jose Calderon,2,,,made,,driving layup,24,7
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,10:05,BOS,shot,,,Sonny Weems,,,,,,,Rajon Rondo,,,,missed,,driving reverse layup,27,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,10:03,BOS,rebound,,,,,,,,,,Ray Allen,,,,,,off,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,9:59,BOS,turnover,,,,,,,,,,Ray Allen,,,bad pass,,Hedo Turkoglu,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,9:46,TOR,shot,Jose Calderon,,,,,,,,,Sonny Weems,2,,,made,,jump,6,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,9:32,TOR,foul,,,,,,,,Paul Pierce,,Hedo Turkoglu,,,,,,shooting,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,9:32,BOS,free throw,,,,,,,1,,2,Paul Pierce,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,9:32,BOS,free throw,,,,,,,2,,2,Paul Pierce,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,9:26,TOR,turnover,,,,,,,,,,Jose Calderon,,,bad pass,,Rajon Rondo,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,9:11,BOS,shot,,,,,,,,,,Paul Pierce,,,,missed,,3pt,32,30
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,9:10,TOR,rebound,,,,,,,,,,Sonny Weems,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,9:04,TOR,shot,,,,,,,,,,Sonny Weems,2,,,made,,driving layup,24,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,8:55,BOS,shot,,,,,,,,,,Ray Allen,,,,missed,,3pt,46,19
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,8:55,TOR,rebound,,,,,,,,,,,,,,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,8:36,TOR,shot,,,,,,,,,,Reggie Evans,,,,missed,,driving layup,23,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,8:35,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,8:30,BOS,shot,Kendrick Perkins,,,,,,,,,Ray Allen,2,,,made,,driving finger roll layup,22,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,8:17,BOS,foul,,,,,,,,Hedo Turkoglu,,Kendrick Perkins,,,,,,personal,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,8:11,TOR,shot,,,,,,,,,,Reggie Evans,,,,missed,,layup,27,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,8:10,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,8:01,TOR,foul,,,,,,,,Paul Pierce,,Reggie Evans,,,,,,shooting,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,8:01,BOS,free throw,,,,,,,1,,2,Paul Pierce,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,8:01,BOS,free throw,,,,,,,2,,2,Paul Pierce,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,7:47,TOR,shot,Jose Calderon,,,,,,,,,Sonny Weems,2,,,made,,pullup jump,28,26
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,7:32,BOS,shot,Ray Allen,,,,,,,,,Paul Pierce,3,,,made,,3pt,17,30
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,7:15,TOR,shot,,,,,,,,,,Andrea Bargnani,,,,missed,,pullup jump,33,18
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,7:13,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,7:06,BOS,shot,Rajon Rondo,,,,,,,,,Kevin Garnett,2,,,made,,reverse layup,23,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Reggie Evans,Sonny Weems,1,6:52,BOS,foul,,,,,,,,Hedo Turkoglu,,Paul Pierce,,,,,,personal,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,1,6:52,TOR,sub,,,,Amir Johnson,,Reggie Evans,,,,,,,,,,,,
