a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,12:00,OFF,jump ball,,Luis Scola,,,Amare Stoudemire,,,,,,,Steve Nash,,,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,11:40,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,jump,30,21
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,11:38,HOU,rebound,,,,,,,,,,Kevin Martin,,,,,,def,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,11:33,HOU,shot,,,,,,,,,,Trevor Ariza,,,,missed,,jump,45,12
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,11:32,PHX,rebound,,,,,,,,,,,,,,,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,11:15,PHX,shot,,,,,,,,,,Amare Stoudemire,,,,missed,,jump,39,16
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,11:14,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,11:00,HOU,shot,,,,,,,,,,Kevin Martin,,,,missed,,3pt,46,21
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,10:58,PHX,rebound,,,,,,,,,,Grant Hill,,,,,,def,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,10:49,PHX,foul,,,,,,,,Kevin Martin,,Jason Richardson,,,,,,offensive,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,10:49,PHX,turnover,,,,,,,,,,Jason Richardson,,,foul,,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,10:39,HOU,foul,,,,,,,,Grant Hill,,Luis Scola,,,,,,offensive,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,10:39,HOU,turnover,,,,,,,,,,Luis Scola,,,foul,,,,,
Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,Amare Stoudemire,Grant Hill,Jarron Collins,Jason Richardson,Steve Nash,1,10:29,PHX,turnover,,,,,,,,,,Steve Nash,,,bad pass,,Aaron Brooks,,,
