a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,12:00,OFF,jump ball,,Jermaine O'Neal,,,David Lee,,,,,,,Carlos Arroyo,,,,,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,11:39,MIA,shot,Michael Beasley,,,,,,,,,Quentin Richardson,3,,,made,,3pt,41,24
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,11:11,NYK,shot,,,,,,,,,,Danilo Gallinari,,,,missed,,3pt,8,25
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,11:09,MIA,rebound,,,,,,,,,,Michael Beasley,,,,,,def,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,11:00,MIA,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,18,10
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,10:58,MIA,rebound,,,,,,,,,,Michael Beasley,,,,,,off,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,10:58,MIA,shot,,,,,,,,,,Michael Beasley,2,,,made,,putback slam dunk,25,6
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,10:35,NYK,shot,,,,,,,,,,David Lee,2,,,made,,driving layup,25,6
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,10:17,MIA,shot,,,,,,,,,,Quentin Richardson,,,,missed,,3pt,12,28
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,10:15,NYK,rebound,,,,,,,,,,Danilo Gallinari,,,,,,def,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,10:06,MIA,foul,,,,,,,,David Lee,,Michael Beasley,,,,,,personal,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,9:54,NYK,shot,Danilo Gallinari,,,,,,,,,David Lee,2,,,made,,jump,21,24
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,9:34,MIA,turnover,,,,,,,,,,Jermaine O'Neal,,,traveling,,,,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,9:20,NYK,shot,Danilo Gallinari,,,,,,,,,David Lee,2,,,made,,layup,25,6
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,9:03,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,6,5
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,9:01,NYK,rebound,,,,,,,,,,David Lee,,,,,,def,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,8:56,NYK,shot,,,,,,,,,,Danilo Gallinari,,,,missed,,jump,41,21
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,8:54,MIA,rebound,,,,,,,,,,,,,,,,,,
Carlos Arroyo,Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Chris Duhon,Danilo Gallinari,David Lee,Earl Barron,Tracy McGrady,1,8:43,MIA,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,38,14
