a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Kaman,DeAndre Jordan,Rasual Butler,Steve Blake,Travis Outlaw,1,12:00,OFF,jump ball,,Erick Dampier,,,DeAndre Jordan,,,,,,,Jason Kidd,,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Kaman,DeAndre Jordan,Rasual Butler,Steve Blake,Travis Outlaw,1,11:43,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,16,22
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Kaman,DeAndre Jordan,Rasual Butler,Steve Blake,Travis Outlaw,1,11:42,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Kaman,DeAndre Jordan,Rasual Butler,Steve Blake,Travis Outlaw,1,11:26,DAL,foul,,,,,,,,Chris Kaman,,Erick Dampier,,,,,,shooting,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Kaman,DeAndre Jordan,Rasual Butler,Steve Blake,Travis Outlaw,1,11:26,LAC,free throw,,,,,,,1,,2,Chris Kaman,,,foul,made,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Kaman,DeAndre Jordan,Rasual Butler,Steve Blake,Travis Outlaw,1,11:26,LAC,free throw,,,,,,,2,,2,Chris Kaman,,,foul,made,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Kaman,DeAndre Jordan,Rasual Butler,Steve Blake,Travis Outlaw,1,11:15,DAL,shot,,,,,,,,,,Jason Kidd,,,,missed,,jump,16,21
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Kaman,DeAndre Jordan,Rasual Butler,Steve Blake,Travis Outlaw,1,11:13,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,off,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Kaman,DeAndre Jordan,Rasual Butler,Steve Blake,Travis Outlaw,1,11:07,LAC,foul,,,,,,,,Erick Dampier,,Chris Kaman,,,,,,shooting,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Rodrigue Beaubois,Shawn Marion,Chris Kaman,DeAndre Jordan,Rasual Butler,Steve Blake,Travis Outlaw,1,11:07,DAL,free throw,,,,,,,1,,2,Erick Dampier,,,foul,made,,,,
