a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,1,12:00,OFF,jump ball,,Hasheem Thabeet,,,Nene Hilario,,,,,,,Rudy Gay,,,,,,
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,1,11:35,MEM,shot,,,,,,,,,,Rudy Gay,,,,missed,,3pt,42,25
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,1,11:35,MEM,rebound,,,,,,,,,,Zach Randolph,,,,,,off,,
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,1,11:35,DEN,foul,,,,,,,,Zach Randolph,,Kenyon Martin,,,,,,shooting,,
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,1,11:35,MEM,free throw,,,,,,,1,,2,Zach Randolph,,,foul,made,,,,
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,1,11:35,MEM,free throw,,,,,,,2,,2,Zach Randolph,,,foul,made,,,,
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,1,11:22,DEN,shot,,,,,,,,,,Kenyon Martin,,,,missed,,jump,27,16
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,1,11:22,MEM,rebound,,,,,,,,,,Hasheem Thabeet,,,,,,def,,
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,1,11:06,MEM,shot,,,,,,,,,,Zach Randolph,2,,,made,,jump hook,20,12
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,1,10:57,MEM,foul,,,,,,,,Carmelo Anthony,,Rudy Gay,,,,,,shooting,,
