a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,Ben Gordon,Ben Wallace,Jonas Jerebko,Tayshaun Prince,Will Bynum,1,12:00,OFF,jump ball,,Andrea Bargnani,,,Ben Wallace,,,,,,,Tayshaun Prince,,,,,,
Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,Ben Gordon,Ben Wallace,Jonas Jerebko,Tayshaun Prince,Will Bynum,1,11:44,DET,shot,Ben Wallace,,,,,,,,,Jonas Jerebko,2,,,made,,dunk,25,6
Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,Ben Gordon,Ben Wallace,Jonas Jerebko,Tayshaun Prince,Will Bynum,1,11:19,TOR,turnover,,,,,,,,,,Andrea Bargnani,,,lost ball,,Will Bynum,,,
Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,Ben Gordon,Ben Wallace,Jonas Jerebko,Tayshaun Prince,Will Bynum,1,11:14,DET,shot,Tayshaun Prince,,,,,,,,,Ben Gordon,2,,,made,,layup,25,6
Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,Ben Gordon,Ben Wallace,Jonas Jerebko,Tayshaun Prince,Will Bynum,1,11:04,DET,foul,,,,,,,,Andrea Bargnani,,Jonas Jerebko,,,,,,personal,,
Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,Ben Gordon,Ben Wallace,Jonas Jerebko,Tayshaun Prince,Will Bynum,1,10:59,TOR,shot,Jose Calderon,,,,,,,,,Amir Johnson,2,,,made,,dunk,25,6
Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,Ben Gordon,Ben Wallace,Jonas Jerebko,Tayshaun Prince,Will Bynum,1,10:40,DET,shot,,,,,,,,,,Jonas Jerebko,,,,missed,,3pt,31,32
Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,Ben Gordon,Ben Wallace,Jonas Jerebko,Tayshaun Prince,Will Bynum,1,10:39,TOR,rebound,,,,,,,,,,Hedo Turkoglu,,,,,,def,,
Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,Ben Gordon,Ben Wallace,Jonas Jerebko,Tayshaun Prince,Will Bynum,1,10:20,TOR,shot,Sonny Weems,,,,,,,,,Hedo Turkoglu,3,,,made,,3pt,23,32
Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,Ben Gordon,Ben Wallace,Jonas Jerebko,Tayshaun Prince,Will Bynum,1,9:54,DET,shot,,,,,,,,,,Tayshaun Prince,2,,,made,,jump,6,11
Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,Ben Gordon,Ben Wallace,Jonas Jerebko,Tayshaun Prince,Will Bynum,1,9:43,TOR,shot,,,,,,,,,,Amir Johnson,,,,missed,,layup,25,6
Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,Ben Gordon,Ben Wallace,Jonas Jerebko,Tayshaun Prince,Will Bynum,1,9:42,TOR,rebound,,,,,,,,,,Amir Johnson,,,,,,off,,
Amir Johnson,Andrea Bargnani,Hedo Turkoglu,Jose Calderon,Sonny Weems,Ben Gordon,Ben Wallace,Jonas Jerebko,Tayshaun Prince,Will Bynum,1,9:31,TOR,shot,,,,,,,,,,Amir Johnson,,,,missed,,jump,10,14
