a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,12:00,OFF,jump ball,,Luis Scola,,,Andris Biedrins,,,,,,,Ronny Turiaf,,,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,11:47,GSW,shot,Stephen Curry,,,,,,,,,Stephen Jackson,2,,,made,,jump,23,9
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,11:31,HOU,turnover,,,,,,,,,,Trevor Ariza,,,lost ball,,Stephen Curry,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,11:25,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,3pt,15,31
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,11:24,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,11:11,HOU,turnover,,,,,,,,,,Chuck Hayes,,,traveling,,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,10:56,GSW,turnover,,,,,,,,,,Monta Ellis,,,lost ball,,Chuck Hayes,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,10:43,HOU,shot,,,,,,,,,,Trevor Ariza,,,,missed,,jump,14,20
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,10:42,GSW,rebound,,,,,,,,,,Ronny Turiaf,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,10:36,GSW,shot,,,,,,,,,,Stephen Jackson,,,,missed,,3pt,43,25
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,10:35,HOU,rebound,,,,,,,,,,Shane Battier,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,10:11,HOU,shot,,,,,,,,,,Luis Scola,2,,,made,,driving finger roll layup,23,8
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,9:46,GSW,shot,,,Aaron Brooks,,,,,,,Monta Ellis,,,,missed,,jump,21,8
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,9:45,GSW,rebound,,,,,,,,,,Ronny Turiaf,,,,,,off,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,9:44,GSW,shot,,,,,,,,,,Stephen Jackson,,,,missed,,3pt,48,14
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,9:42,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,off,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,9:31,GSW,shot,,,,,,,,,,Stephen Curry,2,,,made,,step back jump,37,21
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,9:17,HOU,shot,,,,,,,,,,Chuck Hayes,,,,missed,,jump,21,9
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,9:16,GSW,rebound,,,,,,,,,,Ronny Turiaf,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,9:14,GSW,turnover,,,,,,,,,,Ronny Turiaf,,,bad pass,,Luis Scola,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,9:07,HOU,shot,,,Ronny Turiaf,,,,,,,Aaron Brooks,,,,missed,,jump,25,11
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,9:05,HOU,rebound,,,,,,,,,,Aaron Brooks,,,,,,off,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,9:02,HOU,shot,,,,,,,,,,Trevor Ariza,,,,missed,,3pt,32,31
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,9:01,GSW,rebound,,,,,,,,,,Stephen Jackson,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,8:51,GSW,shot,,,,,,,,,,Stephen Jackson,,,,missed,,jump,19,8
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,8:51,GSW,rebound,,,,,,,,,,,,,,,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,8:51,HOU,foul,,,,,,,,Andris Biedrins,,Luis Scola,,,,,,loose ball,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,8:38,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,floating jump,27,13
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,8:37,HOU,rebound,,,,,,,,,,Shane Battier,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,8:29,HOU,shot,,,,,,,,,,Trevor Ariza,,,,missed,,jump,26,12
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,8:29,HOU,rebound,,,,,,,,,,,,,,,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,8:29,GSW,foul,,,,,,,,Luis Scola,,Stephen Curry,,,,,,personal,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,8:21,HOU,shot,Aaron Brooks,,,,,,,,,Shane Battier,3,,,made,,3pt,48,3
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,8:06,GSW,turnover,,,,,,,,,,Andris Biedrins,,,bad pass,,Trevor Ariza,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,7:50,HOU,shot,Aaron Brooks,,,,,,,,,Trevor Ariza,2,,,made,,driving layup,26,6
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,7:39,HOU,foul,,,,,,,,Monta Ellis,,Shane Battier,,,,,,shooting,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,7:39,GSW,free throw,,,,,,,1,,2,Monta Ellis,,,foul,made,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,7:39,GSW,free throw,,,,,,,2,,2,Monta Ellis,,,foul,made,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,7:21,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,turnaround hook,16,10
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,7:20,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,6:58,GSW,shot,,,,,,,,,,Stephen Jackson,,,,missed,,driving jump,28,8
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,6:57,GSW,rebound,,,,,,,,,,,,,,,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,6:51,GSW,shot,Stephen Jackson,,,,,,,,,Ronny Turiaf,2,,,made,,driving slam dunk,25,6
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,6:32,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,jump,30,9
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,6:30,HOU,rebound,,,,,,,,,,Aaron Brooks,,,,,,off,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Andris Biedrins,Monta Ellis,Ronny Turiaf,Stephen Curry,Stephen Jackson,1,6:30,HOU,shot,,,,,,,,,,Aaron Brooks,2,,,made,,tip,25,6
