a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,12:00,OFF,jump ball,,Roy Hibbert,,,Josh Smith,,,,,,,Joe Johnson,,,,,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:42,ATL,turnover,,,,,,,,,,Joe Johnson,,,lost ball,,Danny Granger,,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:38,IND,turnover,,,,,,,,,,Danny Granger,,,lost ball,,Joe Johnson,,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:35,ATL,shot,Joe Johnson,,,,,,,,,Josh Smith,2,,,made,,layup,25,6
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:18,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,3pt,47,16
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:16,ATL,rebound,,,,,,,,,,Al Horford,,,,,,def,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:00,ATL,shot,,,,,,,,,,Mike Bibby,,,,missed,,jump,45,11
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:59,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,def,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:50,IND,shot,,,,,,,,,,T.J. Ford,,,,missed,,driving layup,23,6
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:49,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,off,,
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:47,IND,shot,,,,,,,,,,Roy Hibbert,2,,,made,,putback layup,25,6
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:26,ATL,shot,,,,,,,,,,Al Horford,2,,,made,,running hook,23,9
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:15,IND,shot,Troy Murphy,,,,,,,,,Danny Granger,2,,,made,,jump,17,23
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:54,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,jump,8,10
Brandon Rush,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,9:52,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
