a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Rafer Alston,Yi Jianlian,Brendan Haywood,Fabricio Oberto,Gilbert Arenas,Mike Miller,Randy Foye,1,12:00,OFF,jump ball,,Brook Lopez,,,Brendan Haywood,,,,,,,Yi Jianlian,,,,,,
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Rafer Alston,Yi Jianlian,Brendan Haywood,Fabricio Oberto,Gilbert Arenas,Mike Miller,Randy Foye,1,11:43,NJN,shot,,,,,,,,,,Rafer Alston,2,,,made,,driving layup,24,4
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Rafer Alston,Yi Jianlian,Brendan Haywood,Fabricio Oberto,Gilbert Arenas,Mike Miller,Randy Foye,1,11:24,WAS,shot,,,,,,,,,,Brendan Haywood,,,,missed,,layup,23,6
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Rafer Alston,Yi Jianlian,Brendan Haywood,Fabricio Oberto,Gilbert Arenas,Mike Miller,Randy Foye,1,11:23,NJN,rebound,,,,,,,,,,Yi Jianlian,,,,,,def,,
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Rafer Alston,Yi Jianlian,Brendan Haywood,Fabricio Oberto,Gilbert Arenas,Mike Miller,Randy Foye,1,11:11,NJN,turnover,,,,,,,,,,Brook Lopez,,,traveling,,,,,
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Rafer Alston,Yi Jianlian,Brendan Haywood,Fabricio Oberto,Gilbert Arenas,Mike Miller,Randy Foye,1,11:05,WAS,turnover,,,,,,,,,,Gilbert Arenas,,,discontinue dribble,,,,,
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Rafer Alston,Yi Jianlian,Brendan Haywood,Fabricio Oberto,Gilbert Arenas,Mike Miller,Randy Foye,1,10:55,NJN,shot,,,,,,,,,,Chris Douglas-Roberts,,,,missed,,jump,30,25
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Rafer Alston,Yi Jianlian,Brendan Haywood,Fabricio Oberto,Gilbert Arenas,Mike Miller,Randy Foye,1,10:54,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Rafer Alston,Yi Jianlian,Brendan Haywood,Fabricio Oberto,Gilbert Arenas,Mike Miller,Randy Foye,1,10:41,WAS,shot,,,,,,,,,,Randy Foye,,,,missed,,jump,18,23
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Rafer Alston,Yi Jianlian,Brendan Haywood,Fabricio Oberto,Gilbert Arenas,Mike Miller,Randy Foye,1,10:40,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,off,,
