a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,12:00,OFF,jump ball,,Greg Oden,,,Luis Scola,,,,,,,Steve Blake,,,,,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:39,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,3pt,41,24
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:37,POR,rebound,,,,,,,,,,Brandon Roy,,,,,,off,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:35,POR,shot,Brandon Roy,,,,,,,,,LaMarcus Aldridge,2,,,made,,layup,25,6
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:35,HOU,foul,,,,,,,,Brandon Roy,,Chuck Hayes,,,,,,shooting,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:35,POR,free throw,,,,,,,1,,1,LaMarcus Aldridge,,,foul,missed,,,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:35,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:20,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,jump,18,20
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:18,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,off,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:17,HOU,shot,,,Greg Oden,,,,,,,Chuck Hayes,,,,missed,,layup,25,6
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:16,POR,rebound,,,,,,,,,,Martell Webster,,,,,,def,,
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:07,POR,shot,Steve Blake,,,,,,,,,LaMarcus Aldridge,2,,,made,,turnaround jump,19,13
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:48,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,jump,33,24
Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:47,POR,rebound,,,,,,,,,,Greg Oden,,,,,,def,,
