a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Jefferson,Corey Brewer,Jonny Flynn,Oleksiy Pecherov,Ryan Gomes,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,12:00,OFF,jump ball,,Al Jefferson,,,Marcus Camby,,,,,,,Baron Davis,,,,,,
Al Jefferson,Corey Brewer,Jonny Flynn,Oleksiy Pecherov,Ryan Gomes,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:47,LAC,turnover,,,,,,,,,,Chris Kaman,,,lost ball,,Corey Brewer,,,
Al Jefferson,Corey Brewer,Jonny Flynn,Oleksiy Pecherov,Ryan Gomes,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:40,MIN,shot,Corey Brewer,,,,,,,,,Oleksiy Pecherov,3,,,made,,3pt,21,33
Al Jefferson,Corey Brewer,Jonny Flynn,Oleksiy Pecherov,Ryan Gomes,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:20,MIN,foul,,,,,,,,,,Al Jefferson,,,,,,defense 3 second,,
Al Jefferson,Corey Brewer,Jonny Flynn,Oleksiy Pecherov,Ryan Gomes,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:20,LAC,free throw,,,,,,,1,,1,Eric Gordon,,,technical,made,,,,
Al Jefferson,Corey Brewer,Jonny Flynn,Oleksiy Pecherov,Ryan Gomes,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:12,LAC,shot,Baron Davis,,,,,,,,,Chris Kaman,2,,,made,,layup,25,6
Al Jefferson,Corey Brewer,Jonny Flynn,Oleksiy Pecherov,Ryan Gomes,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,10:50,MIN,shot,,,,,,,,,,Corey Brewer,,,,missed,,jump,29,26
Al Jefferson,Corey Brewer,Jonny Flynn,Oleksiy Pecherov,Ryan Gomes,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,10:49,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Oleksiy Pecherov,Ryan Gomes,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,10:38,LAC,shot,Baron Davis,,,,,,,,,Chris Kaman,2,,,made,,hook,25,14
Al Jefferson,Corey Brewer,Jonny Flynn,Oleksiy Pecherov,Ryan Gomes,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,10:22,MIN,shot,,,,,,,,,,Oleksiy Pecherov,,,,missed,,jump,41,19
