a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,12:00,OFF,jump ball,,Amare Stoudemire,,,Dwight Howard,,,,,,,Steve Nash,,,,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:50,PHX,shot,,,,,,,,,,Grant Hill,,,,missed,,jump,34,21
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:49,ORL,rebound,,,,,,,,,,Matt Barnes,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:40,ORL,shot,,,,,,,,,,Jameer Nelson,2,,,made,,driving layup,25,6
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:27,PHX,shot,,,,,,,,,,Amare Stoudemire,,,,missed,,jump,7,9
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:26,ORL,rebound,,,,,,,,,,J.J. Redick,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:11,ORL,shot,,,,,,,,,,Dwight Howard,,,,missed,,jump hook,33,7
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:09,ORL,rebound,,,,,,,,,,Ryan Anderson,,,,,,off,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:09,ORL,shot,,,,,,,,,,Ryan Anderson,,,,missed,,tip,25,6
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:08,PHX,rebound,,,,,,,,,,Grant Hill,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:04,ORL,foul,,,,,,,,Jason Richardson,,J.J. Redick,,,,,,shooting,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:04,PHX,free throw,,,,,,,1,,2,Jason Richardson,,,foul,missed,,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:04,PHX,rebound,,,,,,,,,,,,,,,,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:04,PHX,free throw,,,,,,,2,,2,Jason Richardson,,,foul,missed,,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,11:02,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,off,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,10:53,PHX,shot,,,,,,,,,,Steve Nash,,,,missed,,floating jump,18,15
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,10:52,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,off,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,10:41,ORL,foul,,,,,,,,Amare Stoudemire,,Matt Barnes,,,,,,shooting,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,10:41,PHX,free throw,,,,,,,1,,2,Amare Stoudemire,,,foul,made,,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,10:41,PHX,free throw,,,,,,,2,,2,Amare Stoudemire,,,foul,missed,,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,10:41,PHX,rebound,,,,,,,,,,Grant Hill,,,,,,off,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Ryan Anderson,1,10:30,PHX,shot,,,,,,,,,,Steve Nash,2,,,made,,jump,37,23
