a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,12:00,OFF,jump ball,,Tim Duncan,,,Mehmet Okur,,,,,,,Deron Williams,,,,,,
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:43,UTA,shot,,,,,,,,,,Ronnie Brewer,,,,missed,,jump,25,15
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:42,SAS,rebound,,,,,,,,,,Matt Bonner,,,,,,def,,
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:26,SAS,shot,Tony Parker,,,,,,,,,Richard Jefferson,3,,,made,,3pt,2,7
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:17,SAS,foul,,,,,,,,Deron Williams,,Tony Parker,,,,,,personal,,
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:12,UTA,shot,,,,,,,,,,Andrei Kirilenko,,,,missed,,jump,38,20
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:10,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:03,SAS,shot,,,,,,,,,,Tony Parker,,,,missed,,driving layup,25,6
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:02,UTA,rebound,,,,,,,,,,Mehmet Okur,,,,,,def,,
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:57,UTA,shot,,,,,,,,,,Deron Williams,2,,,made,,driving layup,25,6
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:33,SAS,shot,,,,,,,,,,Tim Duncan,,,,missed,,jump,38,21
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:32,UTA,rebound,,,,,,,,,,Ronnie Brewer,,,,,,def,,
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:26,UTA,shot,,,,,,,,,,Deron Williams,2,,,made,,driving layup,25,6
Matt Bonner,Michael Finley,Richard Jefferson,Tim Duncan,Tony Parker,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:13,SAS,shot,,,Deron Williams,,,,,,,Tony Parker,,,,missed,,driving layup,25,6
