a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,12:00,OFF,jump ball,,Marcus Camby,,,Mikki Moore,,,,,,,Rasual Butler,,,,,,
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:46,LAC,shot,Marcus Camby,,,,,,,,,Chris Kaman,2,,,made,,step back jump,15,22
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:31,LAC,foul,,,,,,,,Monta Ellis,,Rasual Butler,,,,,,shooting,,
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:31,GSW,free throw,,,,,,,1,,2,Monta Ellis,,,foul,missed,,,,
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:31,GSW,rebound,,,,,,,,,,,,,,,,,,
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:31,GSW,free throw,,,,,,,2,,2,Monta Ellis,,,foul,made,,,,
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:15,GSW,foul,,,,,,,,Marcus Camby,,Mikki Moore,,,,,,shooting,,
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:15,LAC,free throw,,,,,,,1,,2,Marcus Camby,,,foul,made,,,,
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:15,LAC,free throw,,,,,,,2,,2,Marcus Camby,,,foul,missed,,,,
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,11:14,GSW,rebound,,,,,,,,,,Stephen Jackson,,,,,,def,,
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,10:59,GSW,shot,,,,,,,,,,Kelenna Azubuike,,,,missed,,3pt,48,6
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,10:58,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,10:54,LAC,shot,,,,,,,,,,Eric Gordon,,,,missed,,driving layup,22,6
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,10:53,GSW,rebound,,,,,,,,,,Mikki Moore,,,,,,def,,
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,10:45,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,jump,7,10
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,10:43,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,10:30,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,jump,10,14
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,10:29,GSW,rebound,,,,,,,,,,Kelenna Azubuike,,,,,,def,,
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,10:23,GSW,shot,,,,,,,,,,Monta Ellis,2,,,made,,pullup jump,41,13
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,10:01,LAC,shot,Baron Davis,,,,,,,,,Chris Kaman,2,,,made,,layup,25,7
Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Kelenna Azubuike,Mikki Moore,Monta Ellis,Stephen Curry,Stephen Jackson,1,9:51,GSW,shot,,,,,,,,,,Stephen Jackson,,,,missed,,jump,21,6
