a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,12:00,OFF,jump ball,,Amare Stoudemire,,,Kendrick Perkins,,,,,,,Rajon Rondo,,,,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:48,PHX,foul,,,,,,,,Kendrick Perkins,,Channing Frye,,,,,,shooting,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:48,BOS,free throw,,,,,,,1,,2,Kendrick Perkins,,,foul,made,,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:48,BOS,free throw,,,,,,,2,,2,Kendrick Perkins,,,foul,missed,,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:48,BOS,rebound,,,,,,,,,,Kevin Garnett,,,,,,off,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:38,BOS,shot,,,,,,,,,,Kendrick Perkins,,,,missed,,turnaround jump,35,8
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:37,PHX,rebound,,,,,,,,,,Grant Hill,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:16,PHX,shot,Channing Frye,,,,,,,,,Jason Richardson,3,,,made,,3pt,2,5
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:56,BOS,shot,,,,,,,,,,Ray Allen,2,,,made,,driving layup,24,7
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:39,PHX,shot,,,,,,,,,,Steve Nash,,,,missed,,fade away jumper,16,7
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:38,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:25,BOS,shot,,,,,,,,,,Kevin Garnett,2,,,made,,turnaround jump,25,10
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:00,PHX,shot,,,,,,,,,,Amare Stoudemire,,,,missed,,jump,25,19
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:59,PHX,rebound,,,,,,,,,,Steve Nash,,,,,,off,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:54,PHX,shot,,,,,,,,,,Channing Frye,,,,missed,,3pt,5,22
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:50,BOS,rebound,,,,,,,,,,Ray Allen,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:38,BOS,shot,Paul Pierce,,,,,,,,,Kendrick Perkins,2,,,made,,layup,23,7
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:25,PHX,shot,,,,,,,,,,Amare Stoudemire,,,,missed,,layup,26,8
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:24,BOS,rebound,,,,,,,,,,Paul Pierce,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:17,BOS,shot,,,,,,,,,,Kevin Garnett,,,,missed,,turnaround fade away,30,11
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:15,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:10,PHX,shot,,,,,,,,,,Grant Hill,,,,missed,,jump,44,18
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:07,BOS,rebound,,,,,,,,,,Ray Allen,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:01,BOS,turnover,,,,,,,,,,Rajon Rondo,,,bad pass,,Channing Frye,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:56,PHX,shot,Steve Nash,,,,,,,,,Grant Hill,2,,,made,,layup,25,7
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:39,BOS,shot,,,,,,,,,,Ray Allen,,,,missed,,layup,25,9
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:38,PHX,rebound,,,,,,,,,,Channing Frye,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:33,PHX,shot,Steve Nash,,,,,,,,,Grant Hill,2,,,made,,layup,26,7
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:22,PHX,foul,,,,,,,,Kevin Garnett,,Amare Stoudemire,,,,,,personal,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:12,BOS,shot,,,,,,,,,,Paul Pierce,,,,missed,,fade away jumper,13,10
