a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Boris Diaw,Gerald Wallace,Raja Bell,Raymond Felton,Tyson Chandler,1,12:00,OFF,jump ball,,Greg Oden,,,Tyson Chandler,,,,,,,Raja Bell,,,,,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Boris Diaw,Gerald Wallace,Raja Bell,Raymond Felton,Tyson Chandler,1,11:39,CHA,shot,,,Greg Oden,,,,,,,Gerald Wallace,,,,missed,,layup,25,6
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Boris Diaw,Gerald Wallace,Raja Bell,Raymond Felton,Tyson Chandler,1,11:36,CHA,rebound,,,,,,,,,,Tyson Chandler,,,,,,off,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Boris Diaw,Gerald Wallace,Raja Bell,Raymond Felton,Tyson Chandler,1,11:35,CHA,shot,,,,,,,,,,Raja Bell,,,,missed,,3pt,35,29
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Boris Diaw,Gerald Wallace,Raja Bell,Raymond Felton,Tyson Chandler,1,11:35,CHA,rebound,,,,,,,,,,,,,,,,,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Boris Diaw,Gerald Wallace,Raja Bell,Raymond Felton,Tyson Chandler,1,11:35,CHA,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Boris Diaw,Gerald Wallace,Raja Bell,Raymond Felton,Tyson Chandler,1,11:15,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,26,15
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Boris Diaw,Gerald Wallace,Raja Bell,Raymond Felton,Tyson Chandler,1,11:14,CHA,rebound,,,,,,,,,,Tyson Chandler,,,,,,def,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Boris Diaw,Gerald Wallace,Raja Bell,Raymond Felton,Tyson Chandler,1,10:55,CHA,shot,,,Greg Oden,,,,,,,Tyson Chandler,,,,missed,,jump,25,12
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Boris Diaw,Gerald Wallace,Raja Bell,Raymond Felton,Tyson Chandler,1,10:53,POR,rebound,,,,,,,,,,Greg Oden,,,,,,def,,
