a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,12:00,OFF,jump ball,,Ben Wallace,,,Andrew Bynum,,,,,,,Lamar Odom,,,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:56,LAL,turnover,,,,,,,,,,Ron Artest,,,bad pass,,Rodney Stuckey,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:34,DET,shot,,,,,,,,,,Rodney Stuckey,,,,missed,,jump,32,21
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:33,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:14,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,jump,23,23
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,11:12,DET,rebound,,,,,,,,,,,,,,,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:57,LAL,foul,,,,,,,,Ben Gordon,,Kobe Bryant,,,,,,shooting,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:57,DET,free throw,,,,,,,1,,2,Ben Gordon,,,foul,made,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:57,DET,free throw,,,,,,,2,,2,Ben Gordon,,,foul,missed,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:57,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:41,LAL,shot,,,,,,,,,,Derek Fisher,,,,missed,,3pt,39,28
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:39,LAL,rebound,,,,,,,,,,,,,,,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:39,DET,foul,,,,,,,,Kobe Bryant,,Rodney Stuckey,,,,,,loose ball,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:30,LAL,shot,,,,,,,,,,Andrew Bynum,,,,missed,,jump,17,14
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:27,LAL,rebound,,,,,,,,,,Ron Artest,,,,,,off,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:27,LAL,shot,,,,,,,,,,Ron Artest,2,,,made,,layup,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:27,DET,foul,,,,,,,,Ron Artest,,Jonas Jerebko,,,,,,shooting,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:27,LAL,free throw,,,,,,,1,,1,Ron Artest,,,foul,missed,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:26,DET,rebound,,,,,,,,,,Charlie Villanueva,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,10:17,DET,shot,Ben Wallace,,,,,,,,,Rodney Stuckey,2,,,made,,driving layup,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,9:58,LAL,shot,,,,,,,,,,Andrew Bynum,,,,missed,,jump,32,10
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,9:57,DET,rebound,,,,,,,,,,Ben Wallace,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,9:43,DET,shot,Ben Wallace,,,,,,,,,Rodney Stuckey,2,,,made,,driving layup,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,9:25,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,fade away jumper,26,14
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,9:20,DET,rebound,,,,,,,,,,Jonas Jerebko,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,9:17,DET,shot,,,,,,,,,,Ben Gordon,,,,missed,,3pt,26,31
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,9:16,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,9:08,LAL,shot,,,,,,,,,,Ron Artest,,,,missed,,3pt,2,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,9:08,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,off,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,9:02,LAL,shot,,,,,,,,,,Ron Artest,2,,,made,,driving layup,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,8:38,DET,shot,,,,,,,,,,Charlie Villanueva,,,,missed,,3pt,17,32
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,8:37,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,8:27,LAL,turnover,,,,,,,,,,Kobe Bryant,,,lost ball,,Charlie Villanueva,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,8:18,DET,shot,,,,,,,,,,Charlie Villanueva,,,,missed,,hook,28,12
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,8:17,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,8:13,LAL,foul,,,,,,,,Charlie Villanueva,,Lamar Odom,,,,,,offensive,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,8:13,LAL,turnover,,,,,,,,,,Lamar Odom,,,foul,,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,7:54,DET,shot,,,,,,,,,,Charlie Villanueva,,,,missed,,jump,15,16
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,7:52,DET,rebound,,,,,,,,,,Ben Wallace,,,,,,off,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,7:52,DET,shot,,,,,,,,,,Ben Wallace,2,,,made,,tip,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,7:36,LAL,shot,Lamar Odom,,,,,,,,,Andrew Bynum,2,,,made,,dunk,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,7:11,DET,shot,,,,,,,,,,Jonas Jerebko,,,,missed,,driving layup,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,7:09,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,7:01,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,fade away jumper,14,11
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,6:59,DET,rebound,,,,,,,,,,Ben Wallace,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,6:51,LAL,foul,,,,,,,,Ben Gordon,,Derek Fisher,,,,,,personal,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,6:51,DET,sub,,,,Will Bynum,,Rodney Stuckey,,,,,,,,,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,6:42,DET,shot,,,,,,,,,,Ben Gordon,2,,,made,,pullup jump,35,5
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,6:27,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,layup,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,6:26,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,off,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,6:19,DET,foul,,,,,,,,Lamar Odom,,Ben Wallace,,,,,,shooting,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,6:19,LAL,free throw,,,,,,,1,,2,Lamar Odom,,,foul,missed,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,6:19,LAL,rebound,,,,,,,,,,,,,,,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,6:19,LAL,free throw,,,,,,,2,,2,Lamar Odom,,,foul,made,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,6:03,DET,shot,,,,,,,,,,Charlie Villanueva,,,,missed,,3pt,12,30
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,6:02,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,5:54,LAL,shot,,,,,,,,,,Lamar Odom,,,,missed,,3pt,28,31
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,5:53,DET,rebound,,,,,,,,,,Jonas Jerebko,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,5:41,DET,turnover,,,,,,,,,,Jonas Jerebko,,,offensive goaltending,,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,5:41,LAL,timeout,,,,,,,,,,,,,,,,regular,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,5:32,DET,foul,,,,,,,,Derek Fisher,,Will Bynum,,,,,,personal,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,5:23,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,jump,36,13
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,5:06,DET,shot,,,,,,,,,,Charlie Villanueva,2,,,made,,turnaround hook,37,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,4:50,LAL,turnover,,,,,,,,,,Lamar Odom,,,bad pass,,Charlie Villanueva,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,4:42,LAL,foul,,,,,,,,,,Andrew Bynum,,,,,,defense 3 second,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,4:42,DET,free throw,,,,,,,1,,1,Ben Gordon,,,technical,made,,,,
Ben Gordon,Charlie Villanueva,Jonas Jerebko,Kwame Brown,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,4:42,DET,sub,,,,Kwame Brown,,Ben Wallace,,,,,,,,,,,,
Ben Gordon,Charlie Villanueva,Jonas Jerebko,Kwame Brown,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,4:32,DET,turnover,,,,,,,,,,Kwame Brown,,,bad pass,,,,,
Ben Gordon,Charlie Villanueva,Jonas Jerebko,Kwame Brown,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,4:23,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,jump,23,9
Ben Gordon,Charlie Villanueva,Jonas Jerebko,Kwame Brown,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,4:22,DET,rebound,,,,,,,,,,Charlie Villanueva,,,,,,def,,
Ben Gordon,Charlie Villanueva,Jonas Jerebko,Kwame Brown,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,4:12,DET,shot,,,,,,,,,,Will Bynum,,,,missed,,floating jump,34,6
Ben Gordon,Charlie Villanueva,Jonas Jerebko,Kwame Brown,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,4:10,LAL,rebound,,,,,,,,,,Ron Artest,,,,,,def,,
Ben Gordon,Charlie Villanueva,Jonas Jerebko,Kwame Brown,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,3:59,LAL,shot,,,,,,,,,,Derek Fisher,,,,missed,,layup,25,6
Ben Gordon,Charlie Villanueva,Jonas Jerebko,Kwame Brown,Will Bynum,Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,1,3:58,LAL,rebound,,,,,,,,,,Derek Fisher,,,,,,off,,
