a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,12:00,OFF,jump ball,,Marcus Camby,,,Marc Gasol,,,,,,,Zach Randolph,,,,,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:39,MEM,shot,Zach Randolph,,,,,,,,,O.J. Mayo,3,,,made,,3pt,30,30
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:18,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,jump,14,8
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:17,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,def,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:13,MEM,shot,Mike Conley,,,,,,,,,O.J. Mayo,2,,,made,,layup,25,6
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:56,LAC,shot,Marcus Camby,,,,,,,,,Chris Kaman,2,,,made,,jump,14,18
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:36,MEM,shot,O.J. Mayo,,,,,,,,,Marc Gasol,2,,,made,,dunk,25,6
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:22,LAC,shot,,,,,,,,,,Baron Davis,2,,,made,,step back jump,27,26
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:02,MEM,shot,,,,,,,,,,Marc Gasol,2,,,made,,turnaround jump,30,9
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:52,LAC,shot,Baron Davis,,,,,,,,,Chris Kaman,2,,,made,,reverse layup,25,6
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:37,MEM,shot,Mike Conley,,,,,,,,,Marc Gasol,2,,,made,,layup,25,6
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:21,LAC,shot,,,,,,,,,,Rasual Butler,,,,missed,,jump,14,18
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:19,LAC,rebound,,,,,,,,,,Al Thornton,,,,,,off,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:19,LAC,shot,,,,,,,,,,Al Thornton,,,,missed,,tip,25,6
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:17,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,off,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:17,LAC,shot,,,,,,,,,,Marcus Camby,,,,missed,,tip,25,6
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:15,LAC,rebound,,,,,,,,,,Al Thornton,,,,,,off,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:08,LAC,shot,Marcus Camby,,,,,,,,,Chris Kaman,2,,,made,,turnaround jump,18,7
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,8:51,MEM,shot,,,,,,,,,,Marc Gasol,2,,,made,,running hook,24,11
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,8:33,MEM,violation,,,,,,,,,,Marc Gasol,,,,,,kicked ball,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,8:24,LAC,shot,,,,,,,,,,Baron Davis,2,,,made,,step back jump,7,9
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,8:04,MEM,shot,,,,,,,,,,Zach Randolph,2,,,made,,driving layup,25,6
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,7:41,LAC,shot,,,,,,,,,,Al Thornton,,,,missed,,jump,40,15
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,7:40,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,def,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,7:21,MEM,turnover,,,,,,,,,,Marc Gasol,,,bad pass,,Baron Davis,,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,7:08,LAC,shot,,,,,,,,,,Marcus Camby,,,,missed,,jump,26,27
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,7:07,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,off,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,7:04,LAC,shot,,,,,,,,,,Chris Kaman,2,,,made,,jump,27,10
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,6:39,MEM,shot,,,,,,,,,,Mike Conley,,,,missed,,jump,11,22
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,6:38,LAC,rebound,,,,,,,,,,Al Thornton,,,,,,def,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,6:25,MEM,foul,,,,,,,,Baron Davis,,Mike Conley,,,,,,personal,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,6:13,LAC,shot,,,,,,,,,,Rasual Butler,,,,missed,,3pt,41,25
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,6:12,MEM,rebound,,,,,,,,,,Rudy Gay,,,,,,def,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,5:58,LAC,foul,,,,,,,,Marc Gasol,,Chris Kaman,,,,,,shooting,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,5:58,MEM,timeout,,,,,,,,,,,,,,,,regular,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,5:58,MEM,free throw,,,,,,,1,,2,Marc Gasol,,,foul,made,,,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,5:58,MEM,free throw,,,,,,,2,,2,Marc Gasol,,,foul,made,,,,
