a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,12:00,OFF,jump ball,,Amare Stoudemire,,,Emeka Okafor,,,,,,,Channing Frye,,,,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,11:43,PHX,shot,Grant Hill,,,,,,,,,Channing Frye,2,,,made,,jump,14,25
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,11:26,NOH,shot,David West,,,,,,,,,Peja Stojakovic,3,,,made,,3pt,29,31
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,11:08,PHX,shot,,,,,,,,,,Amare Stoudemire,,,,missed,,jump,23,22
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,11:07,NOH,rebound,,,,,,,,,,Peja Stojakovic,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,11:02,NOH,shot,Darren Collison,,,,,,,,,Devin Brown,2,,,made,,layup,25,6
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,10:42,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,layup,25,6
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,10:41,NOH,rebound,,,,,,,,,,Peja Stojakovic,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,10:25,NOH,shot,Darren Collison,,,,,,,,,Emeka Okafor,2,,,made,,layup,25,6
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,10:09,PHX,shot,,,,,,,,,,Channing Frye,,,,missed,,3pt,6,22
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,10:08,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,10:02,NOH,shot,,,,,,,,,,Devin Brown,2,,,made,,pullup jump,37,19
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:51,PHX,shot,,,,,,,,,,Channing Frye,,,,missed,,3pt,20,30
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:50,NOH,rebound,,,,,,,,,,Peja Stojakovic,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:35,NOH,shot,,,,,,,,,,Darren Collison,,,,missed,,jump,39,21
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:33,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,off,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:28,NOH,shot,,,,,,,,,,Darren Collison,,,,missed,,layup,25,6
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:26,NOH,rebound,,,,,,,,,,Darren Collison,,,,,,off,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:24,NOH,shot,,,,,,,,,,Darren Collison,,,,missed,,layup,25,6
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:23,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,off,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Darren Collison,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,1,9:23,NOH,shot,,,,,,,,,,Emeka Okafor,2,,,made,,layup,25,6
