a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,12:00,OFF,jump ball,,Greg Oden,,,Mikki Moore,,,,,,,LaMarcus Aldridge,,,,,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,11:50,GSW,foul,,,,,,,,Greg Oden,,Mikki Moore,,,,,,personal,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,11:43,GSW,foul,,,,,,,,Greg Oden,,Mikki Moore,,,,,,personal,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,11:30,POR,shot,,,,,,,,,,Andre Miller,,,,missed,,jump,26,14
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,11:29,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,def,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,11:26,GSW,turnover,,,,,,,,,,Anthony Morrow,,,poss lost ball turnover,,,,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,11:10,POR,shot,Greg Oden,,,,,,,,,LaMarcus Aldridge,2,,,made,,pullup jump,20,15
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,10:51,GSW,shot,Stephen Curry,,,,,,,,,Corey Maggette,2,,,made,,step back jump,38,21
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,10:39,POR,turnover,,,,,,,,,,Andre Miller,,,bad pass,,Monta Ellis,,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,10:29,GSW,shot,,,,,,,,,,Monta Ellis,2,,,made,,pullup jump,38,17
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,10:15,POR,shot,Andre Miller,,,,,,,,,Brandon Roy,2,,,made,,jump,42,10
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,10:04,GSW,shot,,,,,,,,,,Corey Maggette,,,,missed,,3pt,18,31
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,10:03,POR,rebound,,,,,,,,,,Andre Miller,,,,,,def,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,9:51,POR,shot,,,,,,,,,,Brandon Roy,2,,,made,,turnaround jump,16,8
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,9:38,GSW,shot,Mikki Moore,,,,,,,,,Monta Ellis,3,,,made,,3pt,28,32
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,9:16,POR,shot,Greg Oden,,,,,,,,,Andre Miller,2,,,made,,driving layup,27,5
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,9:06,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,jump,33,22
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,9:05,POR,rebound,,,,,,,,,,,,,,,,,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,8:46,GSW,foul,,,,,,,,Andre Miller,,Anthony Morrow,,,,,,shooting,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,8:46,POR,free throw,,,,,,,1,,2,Andre Miller,,,foul,made,,,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,8:46,POR,free throw,,,,,,,2,,2,Andre Miller,,,foul,made,,,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,8:35,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,3pt,8,27
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,8:33,POR,rebound,,,,,,,,,,Brandon Roy,,,,,,def,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,8:30,POR,foul,,,,,,,,Stephen Curry,,Andre Miller,,,,,,offensive,,
Andre Miller,Brandon Roy,Greg Oden,LaMarcus Aldridge,Steve Blake,Anthony Morrow,Corey Maggette,Mikki Moore,Monta Ellis,Stephen Curry,1,8:30,POR,turnover,,,,,,,,,,Andre Miller,,,foul,,,,,
